event_id,start_utc,end_utc,region_tag,notes
E240426A,2024-04-26T15:00:00Z,2024-04-26T17:59:59Z,Southern_Plains,expanded_v1 prereg window
E240426B,2024-04-26T18:00:00Z,2024-04-26T20:59:59Z,Southern_Plains,expanded_v1 prereg window
E240426C,2024-04-26T21:00:00Z,2024-04-26T23:59:59Z,Southern_Plains,expanded_v1 prereg window
E240427A,2024-04-27T00:00:00Z,2024-04-27T02:59:59Z,Southern_Plains,expanded_v1 prereg window
E240427B,2024-04-27T03:00:00Z,2024-04-27T05:59:59Z,Southern_Plains,expanded_v1 prereg window
E240427C,2024-04-27T06:00:00Z,2024-04-27T08:59:59Z,Southern_Plains,expanded_v1 prereg window
E240506A,2024-05-06T15:00:00Z,2024-05-06T17:59:59Z,Southern_Plains,expanded_v1 prereg window
E240506B,2024-05-06T18:00:00Z,2024-05-06T20:59:59Z,Southern_Plains,expanded_v1 prereg window
E240506C,2024-05-06T21:00:00Z,2024-05-06T23:59:59Z,Southern_Plains,expanded_v1 prereg window
E240507A,2024-05-07T00:00:00Z,2024-05-07T02:59:59Z,Southern_Plains,expanded_v1 prereg window
E240507B,2024-05-07T03:00:00Z,2024-05-07T05:59:59Z,Southern_Plains,expanded_v1 prereg window
E240507C,2024-05-07T06:00:00Z,2024-05-07T08:59:59Z,Southern_Plains,expanded_v1 prereg window
E240521A,2024-05-21T15:00:00Z,2024-05-21T17:59:59Z,Midwest,expanded_v1 prereg window
E240521B,2024-05-21T18:00:00Z,2024-05-21T20:59:59Z,Midwest,expanded_v1 prereg window
E240521C,2024-05-21T21:00:00Z,2024-05-21T23:59:59Z,Midwest,expanded_v1 prereg window
E240522A,2024-05-22T00:00:00Z,2024-05-22T02:59:59Z,Midwest,expanded_v1 prereg window
E240522B,2024-05-22T03:00:00Z,2024-05-22T05:59:59Z,Midwest,expanded_v1 prereg window
E240522C,2024-05-22T06:00:00Z,2024-05-22T08:59:59Z,Midwest,expanded_v1 prereg window
E240601A,2024-06-01T15:00:00Z,2024-06-01T17:59:59Z,Southern_Plains,expanded_v1 prereg window
E240601B,2024-06-01T18:00:00Z,2024-06-01T20:59:59Z,Southern_Plains,expanded_v1 prereg window
E240601C,2024-06-01T21:00:00Z,2024-06-01T23:59:59Z,Southern_Plains,expanded_v1 prereg window
E240602A,2024-06-02T00:00:00Z,2024-06-02T02:59:59Z,Southern_Plains,expanded_v1 prereg window
E240602B,2024-06-02T03:00:00Z,2024-06-02T05:59:59Z,Southern_Plains,expanded_v1 prereg window
E240602C,2024-06-02T06:00:00Z,2024-06-02T08:59:59Z,Southern_Plains,expanded_v1 prereg window
