event_id,start_utc,end_utc,region_tag,notes
E240722A,2024-07-22T21:00:00Z,2024-07-22T23:59:59Z,Southwest,independent geographic extension
E240723A,2024-07-23T00:00:00Z,2024-07-23T02:59:59Z,Southwest,independent geographic extension
E240801A,2024-08-01T21:00:00Z,2024-08-01T23:59:59Z,Southwest,independent geographic extension
E240802A,2024-08-02T00:00:00Z,2024-08-02T02:59:59Z,Southwest,independent geographic extension
E240815A,2024-08-15T21:00:00Z,2024-08-15T23:59:59Z,Southwest,independent geographic extension
E240816A,2024-08-16T00:00:00Z,2024-08-16T02:59:59Z,Southwest,independent geographic extension
E240828A,2024-08-28T21:00:00Z,2024-08-28T23:59:59Z,Southwest,independent geographic extension
E240829A,2024-08-29T00:00:00Z,2024-08-29T02:59:59Z,Southwest,independent geographic extension
E240905A,2024-09-05T21:00:00Z,2024-09-05T23:59:59Z,Southwest,independent geographic extension
E240906A,2024-09-06T00:00:00Z,2024-09-06T02:59:59Z,Southwest,independent geographic extension
E240912A,2024-09-12T21:00:00Z,2024-09-12T23:59:59Z,Southwest,independent geographic extension
E240913A,2024-09-13T00:00:00Z,2024-09-13T02:59:59Z,Southwest,independent geographic extension
