event_id,start_utc,end_utc,region_tag,notes
E240903A,2024-09-03T18:00:00Z,2024-09-03T20:59:59Z,Southeast,independent seasonal extension
E240903B,2024-09-03T21:00:00Z,2024-09-03T23:59:59Z,Southeast,independent seasonal extension
E240904A,2024-09-04T00:00:00Z,2024-09-04T02:59:59Z,Southeast,independent seasonal extension
E240917A,2024-09-17T18:00:00Z,2024-09-17T20:59:59Z,Southeast,independent seasonal extension
E240917B,2024-09-17T21:00:00Z,2024-09-17T23:59:59Z,Southeast,independent seasonal extension
E240918A,2024-09-18T00:00:00Z,2024-09-18T02:59:59Z,Southeast,independent seasonal extension
E241001A,2024-10-01T18:00:00Z,2024-10-01T20:59:59Z,Southeast,independent seasonal extension
E241001B,2024-10-01T21:00:00Z,2024-10-01T23:59:59Z,Southeast,independent seasonal extension
E241002A,2024-10-02T00:00:00Z,2024-10-02T02:59:59Z,Southeast,independent seasonal extension
E241015A,2024-10-15T18:00:00Z,2024-10-15T20:59:59Z,Southeast,independent seasonal extension
E241015B,2024-10-15T21:00:00Z,2024-10-15T23:59:59Z,Southeast,independent seasonal extension
E241016A,2024-10-16T00:00:00Z,2024-10-16T02:59:59Z,Southeast,independent seasonal extension
