angle_deg,state,tr_F_rho_real
0.0,ket_0,0.27
0.0,ket_1,0.27
0.0,ket_plus,0.26999999999999996
0.0,ket_minus,0.26999999999999996
0.0,ket_plus_i,0.17000000000000007
0.0,ket_minus_i,0.3699999999999999
15.0,ket_0,0.27
15.0,ket_1,0.27
15.0,ket_plus,0.37479863988499085
15.0,ket_minus,0.1652013601150091
15.0,ket_plus_i,0.15620299731537893
15.0,ket_minus_i,0.383797002684621
30.0,ket_0,0.27
30.0,ket_1,0.27
30.0,ket_plus,0.47245542564976056
30.0,ket_minus,0.06754457435023936
30.0,ket_plus_i,0.11575223219384753
30.0,ket_minus_i,0.42424776780615236
45.0,ket_0,0.27
45.0,ket_1,0.27
45.0,ket_plus,0.5563152087299091
45.0,ket_minus,-0.01631520872990927
45.0,ket_plus_i,0.05140435743038807
45.0,ket_minus_i,0.48859564256961185
60.0,ket_0,0.27
60.0,ket_1,0.27
60.0,ket_plus,0.6206630834933686
60.0,ket_minus,-0.08066308349336875
60.0,ket_plus_i,-0.03245542564976056
60.0,ket_minus_i,0.5724554256497605
75.0,ket_0,0.27
75.0,ket_1,0.27
75.0,ket_plus,0.6611138486149001
75.0,ket_minus,-0.12111384861490017
75.0,ket_plus_i,-0.13011221141453033
75.0,ket_minus_i,0.6701122114145303
90.0,ket_0,0.27
90.0,ket_1,0.27
90.0,ket_plus,0.6749108512995212
90.0,ket_minus,-0.1349108512995213
90.0,ket_plus_i,-0.23491085129952122
90.0,ket_minus_i,0.7749108512995211
