angle_deg,state,tr_F_rho_real
0.0,ket_0,0.27
0.0,ket_1,0.27
0.0,ket_plus,0.26999999999999996
0.0,ket_minus,0.26999999999999996
0.0,ket_plus_i,0.4699999999999999
0.0,ket_minus_i,0.07
15.0,ket_0,0.27
15.0,ket_1,0.27
15.0,ket_plus,0.3217638090205041
15.0,ket_minus,0.21823619097949581
15.0,ket_plus_i,0.4631851652578136
15.0,ket_minus_i,0.07681483474218634
30.0,ket_0,0.27
30.0,ket_1,0.27
30.0,ket_plus,0.36999999999999994
30.0,ket_minus,0.16999999999999998
30.0,ket_plus_i,0.4432050807568877
30.0,ket_minus_i,0.09679491924311223
45.0,ket_0,0.27
45.0,ket_1,0.27
45.0,ket_plus,0.4114213562373094
45.0,ket_minus,0.1285786437626905
45.0,ket_plus_i,0.41142135623730947
45.0,ket_minus_i,0.12857864376269046
60.0,ket_0,0.27
60.0,ket_1,0.27
60.0,ket_plus,0.44320508075688764
60.0,ket_minus,0.09679491924311226
60.0,ket_plus_i,0.37
60.0,ket_minus_i,0.16999999999999996
75.0,ket_0,0.27
75.0,ket_1,0.27
75.0,ket_plus,0.4631851652578136
75.0,ket_minus,0.07681483474218634
75.0,ket_plus_i,0.3217638090205041
75.0,ket_minus_i,0.21823619097949581
90.0,ket_0,0.27
90.0,ket_1,0.27
90.0,ket_plus,0.4699999999999999
90.0,ket_minus,0.07
90.0,ket_plus_i,0.26999999999999996
90.0,ket_minus_i,0.26999999999999996
