seed,lx,k_layers,max_abs_delta_lambda_full_gauge,median_abs_delta_lambda_full_gauge,mean_commutator_norm_adjacent_Umu
20260300,8,20,4.996003610813204e-16,8.326672684688674e-17,0.12010617366049275
20260301,8,20,1.0547118733938987e-15,9.540979117872439e-17,0.12010617366049275
20260302,8,20,9.43689570931383e-16,8.500145032286355e-17,0.12010617366049275
20260303,8,20,8.326672684688674e-16,9.367506770274758e-17,0.12010617366049275
20260304,8,20,3.885780586188048e-16,6.938893903907228e-17,0.12010617366049275
20260305,8,20,9.992007221626409e-16,1.1015494072452725e-16,0.12010617366049275
20260306,8,20,5.551115123125783e-16,9.71445146547012e-17,0.12010617366049275
20260307,8,20,6.106226635438361e-16,8.326672684688674e-17,0.12010617366049275
20260308,8,20,5.273559366969494e-16,9.71445146547012e-17,0.12010617366049275
20260309,8,20,5.551115123125783e-16,8.012254054667878e-17,0.12010617366049275
20260310,8,20,3.400058012914542e-16,8.673617379884035e-17,0.12010617366049275
20260311,8,20,6.106226635438361e-16,8.326672684688674e-17,0.12010617366049275
20260312,8,20,8.326672684688674e-16,8.326672684688674e-17,0.12010617366049275
20260313,8,20,5.134781488891349e-16,9.063930161978817e-17,0.12010617366049275
20260314,8,20,1.0547118733938987e-15,9.71445146547012e-17,0.12010617366049275
20260315,8,20,4.440892098500626e-16,9.8879238130678e-17,0.12010617366049275
20260316,8,20,9.992007221626409e-16,8.326672684688674e-17,0.12010617366049275
20260317,8,20,6.106226635438361e-16,8.326672684688674e-17,0.12010617366049275
20260318,8,20,4.996003610813204e-16,8.326672684688674e-17,0.12010617366049275
20260319,8,20,6.800116025829084e-16,8.66277535815918e-17,0.12010617366049275
