seed,Lx,K_layers,mean_commutator_norm_adjacent_Umu,max_commutator_norm_adjacent_Umu,mean_abs_delta_lambda_gauge,max_abs_delta_lambda_gauge,gauge_invariant_within_tol,seed_case,lx_case,k_case
20260218,6,10,0.14023200469011507,0.5298973357020511,4.464021744846984e-17,2.7755575615628914e-16,True,20260218,6,10
20260218,6,20,0.11953970972734097,0.4077578010425246,7.074780576192078e-17,1.1102230246251565e-15,True,20260218,6,20
20260218,6,30,0.11882974124578773,0.4916658337658773,7.09474796620202e-17,6.106226635438361e-16,True,20260218,6,30
20260218,8,10,0.14442976702994942,0.5298973357020511,4.904930628324422e-17,2.0122792321330962e-16,True,20260218,8,10
20260218,8,20,0.12010617366049275,0.45559735621075315,6.010715200305966e-17,7.771561172376096e-16,True,20260218,8,20
20260218,8,30,0.11907817875800664,0.4916658337658773,6.563488901684122e-17,5.551115123125783e-16,True,20260218,8,30
20260218,12,10,0.13992612636678392,0.5298973357020511,5.830839283627042e-17,3.885780586188048e-16,True,20260218,12,10
20260218,12,20,0.12270545159889601,0.49261474977767333,6.277022358922718e-17,5.551115123125783e-16,True,20260218,12,20
20260218,12,30,0.12075517358035287,0.4916658337658773,6.432029388270255e-17,1.1102230246251565e-15,True,20260218,12,30
20260219,6,10,0.14023200469011507,0.5298973357020511,4.4177624521542684e-17,3.3306690738754696e-16,True,20260219,6,10
20260219,6,20,0.11953970972734097,0.4077578010425246,5.718805059136874e-17,3.608224830031759e-16,True,20260219,6,20
20260219,6,30,0.11882974124578773,0.4916658337658773,5.397293939904402e-17,4.718447854656915e-16,True,20260219,6,30
20260219,8,10,0.14442976702994942,0.5298973357020511,4.026726868611163e-17,1.942890293094024e-16,True,20260219,8,10
20260219,8,20,0.12010617366049275,0.45559735621075315,4.6337784412493754e-17,6.38378239159465e-16,True,20260219,8,20
20260219,8,30,0.11907817875800664,0.4916658337658773,4.677654747917148e-17,5.551115123125783e-16,True,20260219,8,30
20260219,12,10,0.13992612636678392,0.5298973357020511,4.540638698369293e-17,3.608224830031759e-16,True,20260219,12,10
20260219,12,20,0.12270545159889601,0.49261474977767333,5.4787785094302655e-17,5.551115123125783e-16,True,20260219,12,20
20260219,12,30,0.12075517358035287,0.4916658337658773,4.576010794246632e-17,3.3306690738754696e-16,True,20260219,12,30
20260220,6,10,0.14023200469011507,0.5298973357020511,6.126465075991424e-17,5.551115123125783e-16,True,20260220,6,10
20260220,6,20,0.11953970972734097,0.4077578010425246,5.727478676516758e-17,4.996003610813204e-16,True,20260220,6,20
20260220,6,30,0.11882974124578773,0.4916658337658773,6.890104806145381e-17,7.771561172376096e-16,True,20260220,6,30
20260220,8,10,0.14442976702994942,0.5298973357020511,5.092497604164414e-17,3.0531133177191805e-16,True,20260220,8,10
20260220,8,20,0.12010617366049275,0.45559735621075315,4.8614608974713314e-17,3.3306690738754696e-16,True,20260220,8,20
20260220,8,30,0.11907817875800664,0.4916658337658773,5.07000040908534e-17,4.718447854656915e-16,True,20260220,8,30
20260220,12,10,0.13992612636678392,0.5298973357020511,5.222963265586837e-17,3.885780586188048e-16,True,20260220,12,10
20260220,12,20,0.12270545159889601,0.49261474977767333,5.395599874009893e-17,5.273559366969494e-16,True,20260220,12,20
20260220,12,30,0.12075517358035287,0.4916658337658773,5.505714157152952e-17,6.661338147750939e-16,True,20260220,12,30
20260221,6,10,0.14023200469011507,0.5298973357020511,6.080205783298708e-17,4.996003610813204e-16,True,20260221,6,10
20260221,6,20,0.11953970972734097,0.4077578010425246,4.929505877567427e-17,4.85722573273506e-16,True,20260221,6,20
20260221,6,30,0.11882974124578773,0.4916658337658773,4.847061337368008e-17,3.0531133177191805e-16,True,20260221,6,30
20260221,8,10,0.14442976702994942,0.5298973357020511,7.060324547225605e-17,6.106226635438361e-16,True,20260221,8,10
20260221,8,20,0.12010617366049275,0.45559735621075315,5.0718638815692996e-17,5.551115123125783e-16,True,20260221,8,20
20260221,8,30,0.11907817875800664,0.4916658337658773,4.618701254788249e-17,2.7755575615628914e-16,True,20260221,8,30
20260221,12,10,0.13992612636678392,0.5298973357020511,6.104781032541714e-17,4.996003610813204e-16,True,20260221,12,10
20260221,12,20,0.12270545159889601,0.49261474977767333,4.899577380097775e-17,2.7755575615628914e-16,True,20260221,12,20
20260221,12,30,0.12075517358035287,0.4916658337658773,4.6810428797061654e-17,3.3306690738754696e-16,True,20260221,12,30
20260222,6,10,0.14023200469011507,0.5298973357020511,6.670011765130824e-17,7.771561172376096e-16,True,20260222,6,10
20260222,6,20,0.11953970972734097,0.4077578010425246,5.3075310350407063e-17,5.828670879282072e-16,True,20260222,6,20
20260222,6,30,0.11882974124578773,0.4916658337658773,5.645982813218264e-17,5.273559366969494e-16,True,20260222,6,30
20260222,8,10,0.14442976702994942,0.5298973357020511,4.954803928258755e-17,4.440892098500626e-16,True,20260222,8,10
20260222,8,20,0.12010617366049275,0.45559735621075315,4.552293871723512e-17,2.220446049250313e-16,True,20260222,8,20
20260222,8,30,0.11907817875800664,0.4916658337658773,5.4243989942165394e-17,3.885780586188048e-16,True,20260222,8,30
20260222,12,10,0.13992612636678392,0.5298973357020511,5.2475385148298415e-17,2.7755575615628914e-16,True,20260222,12,10
20260222,12,20,0.12270545159889601,0.49261474977767333,4.911435841359335e-17,5.551115123125783e-16,True,20260222,12,20
20260222,12,30,0.12075517358035287,0.4916658337658773,4.1735007377113886e-17,3.608224830031759e-16,True,20260222,12,30
20260223,6,10,0.14023200469011507,0.5298973357020511,5.4658245522235896e-17,4.440892098500626e-16,True,20260223,6,10
20260223,6,20,0.11953970972734097,0.4077578010425246,5.248984117726489e-17,3.3306690738754696e-16,True,20260223,6,20
20260223,6,30,0.11882974124578773,0.4916658337658773,5.745255074636468e-17,6.661338147750939e-16,True,20260223,6,30
20260223,8,10,0.14442976702994942,0.5298973357020511,5.189533698601867e-17,2.7755575615628914e-16,True,20260223,8,10
20260223,8,20,0.12010617366049275,0.45559735621075315,4.588377475276545e-17,4.163336342344337e-16,True,20260223,8,20
20260223,8,30,0.11907817875800664,0.4916658337658773,5.0076587841674236e-17,2.7755575615628914e-16,True,20260223,8,30
20260223,12,10,0.13992612636678392,0.5298973357020511,4.789824497678878e-17,5.551115123125783e-16,True,20260223,12,10
20260223,12,20,0.12270545159889601,0.49261474977767333,4.760155756979717e-17,3.885780586188048e-16,True,20260223,12,20
20260223,12,30,0.12075517358035287,0.4916658337658773,4.5295933887370965e-17,4.440892098500626e-16,True,20260223,12,30
20260224,6,10,0.14023200469011507,0.5298973357020511,5.006122831089736e-17,3.3306690738754696e-16,True,20260224,6,10
20260224,6,20,0.11953970972734097,0.4077578010425246,4.885414989219683e-17,4.440892098500626e-16,True,20260224,6,20
