x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
5,9,0.18002328478216476,0.18002328478216462,-1.3877787807814457e-16,1.3877787807814457e-16
2,19,-0.080760369441877,-0.080760369441877,0.0,0.0
4,15,0.04807892688595926,0.04807892688595927,1.3877787807814457e-17,1.3877787807814457e-17
3,18,0.08187073406076004,0.08187073406076,-4.163336342344337e-17,4.163336342344337e-17
2,8,-0.0008791389471715094,-0.0008791389471715094,0.0,0.0
3,1,-0.0015876833747025254,-0.001587683374702555,-2.949029909160572e-17,2.949029909160572e-17
3,9,-0.05789731746452828,-0.057897317464528184,9.71445146547012e-17,9.71445146547012e-17
3,11,-0.3107301992293668,-0.3107301992293667,1.1102230246251565e-16,1.1102230246251565e-16
5,8,-0.22678152432246113,-0.22678152432246101,1.1102230246251565e-16,1.1102230246251565e-16
2,13,-0.15300531329023687,-0.15300531329023687,0.0,0.0
0,14,-0.12442638001852437,-0.12442638001852437,0.0,0.0
5,15,0.29186182425741464,0.29186182425741464,0.0,0.0
3,14,-0.007479284840742947,-0.007479284840742936,1.0408340855860843e-17,1.0408340855860843e-17
2,1,-0.2066204512460372,-0.2066204512460371,1.1102230246251565e-16,1.1102230246251565e-16
4,7,-0.004655247833653897,-0.004655247833653923,-2.6020852139652106e-17,2.6020852139652106e-17
1,14,-0.18103370552828238,-0.18103370552828238,0.0,0.0
4,2,0.125978702610048,0.12597870261004807,5.551115123125783e-17,5.551115123125783e-17
0,10,0.0779273434266539,0.07792734342665386,-4.163336342344337e-17,4.163336342344337e-17
2,10,-0.12994563858704355,-0.12994563858704364,-8.326672684688674e-17,8.326672684688674e-17
1,4,0.058417536065528866,0.058417536065528866,0.0,0.0
0,11,0.07575103064644768,0.07575103064644766,-2.7755575615628914e-17,2.7755575615628914e-17
4,3,0.044000808366158585,0.044000808366158835,2.498001805406602e-16,2.498001805406602e-16
4,4,-0.017174600652512723,-0.017174600652512667,5.551115123125783e-17,5.551115123125783e-17
5,4,-0.3268129753033655,-0.3268129753033655,0.0,0.0
2,15,-0.021348422746083475,-0.021348422746083465,1.0408340855860843e-17,1.0408340855860843e-17
3,6,0.024439790881539768,0.024439790881539795,2.7755575615628914e-17,2.7755575615628914e-17
0,5,0.008713290334339915,0.008713290334339922,6.938893903907228e-18,6.938893903907228e-18
3,15,0.04176066145233587,0.04176066145233588,1.3877787807814457e-17,1.3877787807814457e-17
3,12,0.008769373277000806,0.008769373277000808,1.734723475976807e-18,1.734723475976807e-18
2,6,0.06945206144761938,0.06945206144761937,-1.3877787807814457e-17,1.3877787807814457e-17
3,8,-0.016117097236016217,-0.016117097236016207,1.0408340855860843e-17,1.0408340855860843e-17
