case_id,seed,nx,alpha1_val,alpha2_val,alpha_mod_amp,theta1_base,theta1_amp,theta1_center,theta1_width,theta2_base,theta2_amp,theta2_center,theta2_width,n_angle_fine,max_abs_spatial_err,max_abs_antisym_err,max_abs_angle_err,rmse_angle,r2_angle,ratio_mean,ratio_std,pass_spatial_tol,pass_antisym_tol,pass_angle_tol,pass_ratio_std_tol,pass_r2_min,pass_all
0,20260220,160,0.5845237264026684,0.7943678053421953,0.0026574449879562586,0.4650197828450708,0.4864103095886812,2.5369251166144755,0.34529767224787933,0.2584977408790591,0.17549196174589166,5.594845519619795,0.7190553982312623,77,1.1102230246251565e-16,0.0,1.1102230246251565e-16,3.919302581334394e-17,1.0,0.3050920449286776,5.204386227374128e-13,True,True,True,True,True,True
1,20260220,96,0.2346688339410049,0.9084610290906168,0.29674119873809257,0.6451279880086958,0.4276749570226443,1.6627835455525604,0.3526387514039294,0.3723562525947373,0.24885528486724626,3.5990337681010063,0.47496355329485535,81,1.1102230246251565e-16,0.0,1.6653345369377348e-16,7.17311724539373e-17,1.0,0.44077281662163337,7.823471311659064e-13,True,True,True,True,True,True
2,20260220,96,0.6452017150287308,1.4361604970864015,0.04515750817603015,0.4329067712815192,0.1236636826157479,1.385701964619854,0.5422278246940477,0.41717297472378573,0.3744442937440065,4.733644939244789,0.8708794148027768,55,2.220446049250313e-16,0.0,2.220446049250313e-16,9.459341569453023e-17,1.0,0.5493274568625143,7.095748994046202e-13,True,True,True,True,True,True
3,20260220,128,0.4120566672214065,0.6385782477422138,0.25597554589311905,0.7490701708225409,0.44464731551272374,2.53371967438301,0.7050956942417637,0.2794714811603184,0.2652715015204898,4.532876679078294,0.8699537781592488,85,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.0119695006246148e-16,1.0,0.3750078984939321,6.909318511466724e-13,True,True,True,True,True,True
4,20260220,128,0.2623701180475542,0.7483571335849594,0.34062177240145114,0.19960564101665848,0.5374360127806831,1.171604770604687,0.3068933339674942,0.17578529134238632,0.2760426940392515,5.613040187680384,0.2813239786518641,83,1.1102230246251565e-16,0.0,5.551115123125783e-17,3.0330926553418834e-17,1.0,0.22767225152393925,4.118372750391131e-13,True,True,True,True,True,True
5,20260220,160,0.12050487816601456,0.45853459993523693,0.348091538685043,0.6681308111618324,0.46051915767584795,1.1190789870503692,0.38397482938700805,0.7077671949033979,0.40831803751591855,5.609948075460908,0.46001011202299114,59,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.9432315374179614e-16,1.0,0.7997357738219587,1.0972268963639967e-12,True,True,True,True,True,True
6,20260220,160,0.4837206664858072,1.048661229323399,0.20939439950826957,0.6406281963984465,0.13417412878506588,2.143041603034257,0.8346135232929568,0.5674473799602067,0.052053941878671905,4.461108645055433,0.3003251966382148,64,1.1102230246251565e-16,0.0,1.6653345369377348e-16,8.534289670188683e-17,1.0,0.5788221269221598,8.502373334170356e-13,True,True,True,True,True,True
7,20260220,256,0.5411648364632893,0.6769686590055961,0.032308499479831845,0.3156785317678112,0.2961547342068069,1.26400779266369,0.30729513077086934,0.44973719843722637,0.2971598326954475,4.635557573841783,0.5753552646592175,54,1.1102230246251565e-16,0.0,1.1102230246251565e-16,5.93103697490213e-17,1.0,0.5382623575478762,6.842576890361846e-13,True,True,True,True,True,True
8,20260220,320,0.5496742738888065,0.7474060700792328,0.1784147199951081,0.736225869912639,0.5411870990284517,2.1362479091005677,0.7081837302361386,0.23553154804173043,0.19185194956739612,5.298630972724209,0.5705819619820064,75,1.1102230246251565e-16,0.0,1.6653345369377348e-16,7.959243272787847e-17,1.0,0.28765417645250935,4.805806495226941e-13,True,True,True,True,True,True
9,20260220,256,0.6074406378215795,0.8016179522788142,0.03268646644446938,0.17237392222817893,0.15571208445873336,2.0998879724139723,0.8147068070649038,0.7561672937118259,0.10664220301264521,5.268125476741261,0.4116982615172302,38,2.220446049250313e-16,0.0,4.440892098500626e-16,2.0532314247375389e-16,1.0,0.7818537183561658,7.174743616065984e-13,True,True,True,True,True,True
