seed_case,n_sites_case,k_layers_case,gamma_case,eta0,corr_coh_sum,corr_absLambda_sum,R2_coh_features,R2_absLambda_only,coherence_features_better,r2_gap_coh_minus_lambda,corr_gap_coh_minus_lambda
20260603,4,5,0.2,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True,0.0070436435012509735,0.29796942882480976
20260603,4,5,0.35,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True,0.0070436435012509735,0.29796942882480976
20260603,4,5,0.8,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True,0.0070436435012509735,0.29796942882480976
20260602,4,4,0.8,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True,0.021624429305064807,0.35692586545421406
20260602,4,4,0.2,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True,0.021624429305064807,0.35692586545421406
20260602,4,4,0.35,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True,0.021624429305064807,0.35692586545421406
20260603,4,4,0.2,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True,0.025785637438942466,0.3145910367145026
20260603,4,4,0.35,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True,0.025785637438942466,0.3145910367145026
20260603,4,4,0.8,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True,0.025785637438942466,0.3145910367145026
20260606,4,4,0.8,0.5,0.23292310723977225,-0.1109152410347666,0.04758103129677749,0.01955538375109478,True,0.028025647545682708,0.34383834827453885
20260606,4,4,0.35,0.5,0.23292310723977225,-0.1109152410347666,0.04758103129677749,0.01955538375109478,True,0.028025647545682708,0.34383834827453885
20260606,4,4,0.2,0.5,0.23292310723977225,-0.1109152410347666,0.04758103129677749,0.01955538375109478,True,0.028025647545682708,0.34383834827453885
20260608,4,5,0.8,0.5,0.21029371201900013,-0.07461889097844455,0.036006574125141966,0.007970371919111097,True,0.02803620220603087,0.2849126029974447
20260608,4,5,0.35,0.5,0.21029371201900013,-0.07461889097844455,0.036006574125141966,0.007970371919111097,True,0.02803620220603087,0.2849126029974447
20260608,4,5,0.2,0.5,0.21029371201900013,-0.07461889097844455,0.036006574125141966,0.007970371919111097,True,0.02803620220603087,0.2849126029974447
