case_id,K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
0,4,0.9598249843074043,0.15326491473015574,0.15326491473015574,0.0,0.0
0,8,0.47991249215370213,0.15326491473015572,0.15326491473015574,1.8109542986074989e-16,1.8109542986074988e-14
0,16,0.23995624607685107,0.15326491473015574,0.15326491473015574,0.0,0.0
0,32,0.11997812303842553,0.15326491473015574,0.15326491473015574,0.0,0.0
0,64,0.059989061519212766,0.15326491473015574,0.15326491473015574,0.0,0.0
0,128,0.029994530759606383,0.15326491473015577,0.15326491473015574,1.8109542986074989e-16,1.8109542986074988e-14
1,4,0.8159930838396969,0.15713874258320037,0.15713874258320037,0.0,0.0
1,8,0.40799654191984847,0.15713874258320035,0.15713874258320037,1.7663101511031228e-16,1.7663101511031227e-14
1,16,0.20399827095992423,0.15713874258320037,0.15713874258320037,0.0,0.0
1,32,0.10199913547996212,0.15713874258320037,0.15713874258320037,0.0,0.0
1,64,0.05099956773998106,0.15713874258320037,0.15713874258320037,0.0,0.0
1,128,0.02549978386999053,0.1571387425832004,0.15713874258320037,1.7663101511031228e-16,1.7663101511031227e-14
2,4,0.7431600512346188,0.180603896944375,0.18060389694437506,3.0736408333622296e-16,3.0736408333622296e-14
2,8,0.3715800256173094,0.18060389694437512,0.18060389694437506,3.0736408333622296e-16,3.0736408333622296e-14
2,16,0.1857900128086547,0.18060389694437518,0.18060389694437506,6.147281666724459e-16,6.147281666724459e-14
2,32,0.09289500640432735,0.18060389694437495,0.18060389694437506,6.147281666724459e-16,6.147281666724459e-14
2,64,0.046447503202163676,0.18060389694437506,0.18060389694437506,0.0,0.0
2,128,0.023223751601081838,0.18060389694437506,0.18060389694437506,0.0,0.0
3,4,0.7808812540850426,0.03182543945187126,0.03182543945187126,0.0,0.0
3,8,0.3904406270425213,0.03182543945187125,0.03182543945187126,2.180297907402193e-16,2.180297907402193e-14
3,16,0.19522031352126065,0.03182543945187125,0.03182543945187126,2.180297907402193e-16,2.180297907402193e-14
3,32,0.09761015676063033,0.03182543945187125,0.03182543945187126,2.180297907402193e-16,2.180297907402193e-14
3,64,0.04880507838031516,0.031825439451871225,0.03182543945187126,1.0901489537010965e-15,1.0901489537010965e-13
3,128,0.02440253919015758,0.03182543945187126,0.03182543945187126,0.0,0.0
4,4,0.7614236438341939,0.15740798772222098,0.15740798772222098,0.0,0.0
4,8,0.38071182191709696,0.15740798772222098,0.15740798772222098,0.0,0.0
4,16,0.19035591095854848,0.157407987722221,0.15740798772222098,1.763288891324194e-16,1.763288891324194e-14
4,32,0.09517795547927424,0.15740798772222098,0.15740798772222098,0.0,0.0
4,64,0.04758897773963712,0.15740798772222103,0.15740798772222098,3.526577782648388e-16,3.526577782648388e-14
4,128,0.02379448886981856,0.15740798772222106,0.15740798772222098,5.289866673972582e-16,5.289866673972582e-14
5,4,0.6212859544260656,0.26968014049907296,0.2696801404990729,2.0584070865777546e-16,2.0584070865777546e-14
5,8,0.3106429772130328,0.26968014049907296,0.2696801404990729,2.0584070865777546e-16,2.0584070865777546e-14
5,16,0.1553214886065164,0.26968014049907296,0.2696801404990729,2.0584070865777546e-16,2.0584070865777546e-14
5,32,0.0776607443032582,0.26968014049907296,0.2696801404990729,2.0584070865777546e-16,2.0584070865777546e-14
5,64,0.0388303721516291,0.26968014049907285,0.2696801404990729,2.0584070865777546e-16,2.0584070865777546e-14
5,128,0.01941518607581455,0.269680140499073,0.2696801404990729,4.116814173155509e-16,4.116814173155509e-14
6,4,0.2177388046928073,0.3293214083737651,0.32932140837376517,1.685622307562069e-16,1.685622307562069e-14
6,8,0.10886940234640365,0.3293214083737651,0.32932140837376517,1.685622307562069e-16,1.685622307562069e-14
6,16,0.05443470117320182,0.3293214083737651,0.32932140837376517,1.685622307562069e-16,1.685622307562069e-14
6,32,0.02721735058660091,0.32932140837376517,0.32932140837376517,0.0,0.0
6,64,0.013608675293300456,0.32932140837376517,0.32932140837376517,0.0,0.0
6,128,0.006804337646650228,0.32932140837376517,0.32932140837376517,0.0,0.0
7,4,0.06901958924401376,0.007219318537104996,0.007219318537104996,0.0,0.0
7,8,0.03450979462200688,0.007219318537104996,0.007219318537104996,0.0,0.0
7,16,0.01725489731100344,0.0072193185371049965,0.007219318537104996,1.2014454460352742e-16,1.2014454460352743e-14
7,32,0.00862744865550172,0.007219318537104997,0.007219318537104996,2.4028908920705484e-16,2.4028908920705485e-14
