n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.48645816319433e-05,8.48645816319433e-05,0.035210990704497326,0.03521099070449652,0.005714285714285714,0.015468545431184854,0.19884905143805856,0.0006042584963181811,0.3657142857142857
1,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.1216145407986695e-05,2.1216145407986695e-05,0.04241473185811639,0.0072037411536190615,0.0014285714285714286,0.015468545431184854,0.1985633487779464,0.0006042584963181811,0.45714285714285713
2,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597197e-05,4.243229081597197e-05,0.05600153435484535,0.013586802496728966,0.002857142857142857,0.015468545431184854,0.19799194345772209,0.0006042584963181811,0.64
3,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395771e-05,6.364843622395771e-05,0.07487597323205841,0.01887443887721306,0.004285714285714286,0.015468545431184854,0.19713483547738564,0.000604258496318181,0.9142857142857143
4,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.486458163194441e-05,8.486458163194441e-05,0.09803911327973001,0.0231631400476716,0.005714285714285714,0.015468545431184854,0.195992024836937,0.000604258496318181,1.28
5,oscillating,0.03,2.0,64,0.12,0.0036,700,0.036571428571428574,-0.00010608072703992998,0.00010608072703992998,0.12466566205485942,0.026626548775129405,0.007142857142857143,0.015468545431184854,0.19456351153637627,0.0006042584963181811,1.737142857142857
6,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597197e-05,4.243229081597197e-05,0.13474216817976478,0.010076506124905363,0.002857142857142857,0.015468545431184854,0.19399210621615195,0.0006042584963181811,1.92
7,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.486458163194361e-05,8.486458163194361e-05,0.1540761036710284,0.01933393549126361,0.005714285714285714,0.015468545431184854,0.19284929557570335,0.0006042584963181811,2.2857142857142856
8,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.486458163194408e-05,8.486458163194408e-05,0.1724579493611108,0.018381845690082416,0.005714285714285714,0.015468545431184854,0.19170648493525472,0.000604258496318181,2.6514285714285712
9,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-0.0028995751479588285,0.0028995751479588285,0.1964167500215268,0.023958800660416002,0.005714285714285714,0.015468545431184859,0.19056367429480617,0.0006042584963181809,3.0171428571428573
