n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.06582857142857143,-0.0038855415062141966,0.0038855415062141966,0.04932876731898828,0.04932876731898939,0.008571428571428572,0.022625444811536752,0.19827764611783422,0.0008838334102692664,0.5485714285714286
1,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.04932876731898828,0.0,0.0,0.022625444811536752,0.19827764611783422,0.0008838334102692664,0.5485714285714286
2,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0022095526061071576,0.0022095526061071576,0.06010269753773127,0.01077393021874299,0.0014285714285714286,0.022625444811536756,0.19799194345772209,0.0008838334102692664,0.64
3,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.06010269753773127,0.0,0.0,0.022625444811536756,0.19799194345772209,0.0008838334102692664,0.64
4,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.06677340314223901,0.0066707056045077345,0.0014285714285714286,0.022625444811536756,0.19770624079760993,0.0008838334102692665,0.7314285714285714
5,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713985,0.0012951805020713985,0.0795200157090781,0.012746612566839094,0.002857142857142857,0.022625444811536756,0.19713483547738564,0.0008838334102692665,0.9142857142857143
6,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0035047331081785567,0.0035047331081785567,0.10039919058818066,0.020879174879102555,0.004285714285714286,0.022625444811536756,0.19627772749704916,0.0008838334102692663,1.1885714285714286
7,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.1062414396455,0.0058422490573193375,0.0014285714285714286,0.022625444811536756,0.195992024836937,0.0008838334102692664,1.28
8,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.12307599723697094,0.01683455759147094,0.004285714285714286,0.022625444811536763,0.19513491685660062,0.0008838334102692663,1.5542857142857143
9,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713985,0.0012951805020713985,0.1337991183321261,0.010723121095155164,0.002857142857142857,0.022625444811536756,0.19456351153637627,0.0008838334102692663,1.737142857142857
10,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.13902877967346683,0.00522966134134073,0.0014285714285714286,0.022625444811536756,0.1942778088762641,0.0008838334102692664,1.8285714285714285
11,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.13902877967346683,0.0,0.0,0.022625444811536756,0.1942778088762641,0.0008838334102692664,1.8285714285714285
12,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.0025903610041427966,0.0025903610041427966,0.15917212398619407,0.02014334431272724,0.005714285714285714,0.022625444811536756,0.1931349982358155,0.0008838334102692664,2.1942857142857144
13,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.15917212398619407,0.0,0.0,0.022625444811536756,0.1931349982358155,0.0008838334102692664,2.1942857142857144
14,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356988,0.0006475902510356988,0.1640321526627625,0.004860028676568429,0.0014285714285714286,0.022625444811536756,0.19284929557570335,0.0008838334102692663,2.2857142857142856
15,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.17823689335592324,0.014204740693160745,0.004285714285714286,0.022625444811536756,0.19199218759536688,0.0008838334102692663,2.56
16,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356997,0.0006475902510356997,0.18285464839877996,0.004617755042856719,0.0014285714285714286,0.022625444811536756,0.19170648493525472,0.0008838334102692663,2.6514285714285712
17,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0768,-0.004533131757249895,0.004533131757249895,0.2137347643999424,0.030880116001162444,0.01,0.022625444811536756,0.18970656631446967,0.0008838334102692661,3.2914285714285714
18,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.21795848503414997,0.004223720634207562,0.0014285714285714286,0.022625444811536756,0.1894208636543575,0.0008838334102692663,3.382857142857143
19,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.22213922907791697,0.004180744043767004,0.0014285714285714286,0.022625444811536756,0.18913516099424535,0.0008838334102692663,3.474285714285714
20,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070974,0.0019427707531070974,0.23443460961864704,0.012295380540730066,0.004285714285714286,0.022625444811536756,0.18827805301390887,0.0008838334102692663,3.7485714285714287
21,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.23443460961864704,0.0,0.0,0.022625444811536756,0.18827805301390887,0.0008838334102692663,3.7485714285714287
22,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.23443460961864704,0.0,0.0,0.022625444811536756,0.18827805301390887,0.0008838334102692663,3.7485714285714287
23,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356997,0.0006475902510356997,0.23845416741806547,0.004019557799418427,0.0014285714285714286,0.02262544481153675,0.18799235035379666,0.0008838334102692663,3.84
24,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.24638048379148392,0.007926316373418452,0.002857142857142857,0.022625444811536752,0.1874209450335724,0.0008838334102692664,4.022857142857143
25,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.2502889369333544,0.003908453141870494,0.0014285714285714286,0.022625444811536756,0.18713524237346027,0.0008838334102692664,4.114285714285714
26,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.001295180502071398,0.001295180502071398,0.2580003753029828,0.007711438369628398,0.002857142857142857,0.022625444811536756,0.18656383705323595,0.0008838334102692663,4.297142857142857
27,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.2618048307922663,0.003804455489283487,0.0014285714285714286,0.022625444811536756,0.1862781343931238,0.0008838334102692664,4.388571428571429
28,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.2655760368730141,0.0037712060807478243,0.0014285714285714286,0.022625444811536756,0.18599243173301166,0.0008838334102692664,4.48
29,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.001295180502071399,0.001295180502071399,0.2730213034584114,0.007445266585397292,0.002857142857142857,0.022625444811536756,0.18542102641278735,0.0008838334102692665,4.662857142857143
30,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.276696598087974,0.0036752946295625644,0.0014285714285714286,0.022625444811536756,0.1851353237526752,0.0008838334102692665,4.7542857142857144
31,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.276696598087974,0.0,0.0,0.022625444811536756,0.1851353237526752,0.0008838334102692665,4.7542857142857144
32,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.276696598087974,0.0,0.0,0.022625444811536756,0.1851353237526752,0.0008838334102692665,4.7542857142857144
33,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.2803411147974845,0.003644516709510548,0.0014285714285714286,0.022625444811536756,0.18484962109256306,0.0008838334102692666,4.845714285714286
34,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.001295180502071398,0.001295180502071398,0.2875400205967526,0.007198905799268074,0.002857142857142857,0.022625444811536756,0.18427821577233874,0.0008838334102692663,5.0285714285714285
35,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.2910954600622694,0.0035554394655167854,0.0014285714285714286,0.022625444811536752,0.18399251311222659,0.0008838334102692664,5.12
36,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.3015916228807775,0.010496162818508126,0.004285714285714286,0.022625444811536756,0.18313540513189014,0.0008838334102692665,5.394285714285714
37,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.054857142857142854,-0.003237951255178496,0.003237951255178496,0.3185447457316435,0.016953122850865976,0.007142857142857143,0.022625444811536752,0.18170689183132935,0.0008838334102692665,5.851428571428571
38,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356988,0.0006475902510356988,0.3218579687281936,0.0033132229965501248,0.0014285714285714286,0.02262544481153675,0.18142118917121716,0.0008838334102692665,5.942857142857143
39,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.33164947156386543,0.009791502835671817,0.004285714285714286,0.02262544481153675,0.1805640811908807,0.0008838334102692665,6.217142857142857
40,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.33805704286338867,0.00640757129952324,0.002857142857142857,0.022625444811536756,0.17999267587065645,0.0008838334102692666,6.4
41,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356998,0.0006475902510356998,0.34122575841067765,0.0031687155472889805,0.0014285714285714286,0.022625444811536756,0.1797069732105443,0.0008838334102692664,6.491428571428571
42,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.35059521041634967,0.009369452005672019,0.004285714285714286,0.022625444811536756,0.17884986523020782,0.0008838334102692664,6.765714285714286
43,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713983,0.0012951805020713983,0.3567304191566155,0.006135208740265852,0.002857142857142857,0.022625444811536756,0.17827845990998353,0.0008838334102692665,6.948571428571428
44,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.3567304191566155,0.0,0.0,0.022625444811536756,0.17827845990998353,0.0008838334102692665,6.948571428571428
45,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.054857142857142854,-0.003237951255178497,0.003237951255178497,0.3716948514751451,0.014964432318529564,0.007142857142857143,0.022625444811536756,0.17684994660942274,0.0008838334102692663,7.405714285714286
46,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713985,0.0012951805020713985,0.37753624413024334,0.005841392655098254,0.002857142857142857,0.022625444811536756,0.17627854128919845,0.0008838334102692664,7.588571428571429
47,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.3804269033670658,0.002890659236822468,0.0014285714285714286,0.022625444811536756,0.1759928386290863,0.0008838334102692664,7.68
48,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070983,0.0019427707531070983,0.38898125376955517,0.008554350402489364,0.004285714285714286,0.022625444811536756,0.17513573064874985,0.0008838334102692664,7.954285714285715
49,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.38898125376955517,0.0,0.0,0.022625444811536756,0.17513573064874985,0.0008838334102692664,7.954285714285715
50,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0022095526061071576,0.0022095526061071576,0.3968498342359391,0.007868580466383945,0.0014285714285714286,0.022625444811536756,0.1748500279886377,0.0008838334102692664,8.045714285714286
51,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.4024520392419152,0.00560220500597608,0.002857142857142857,0.022625444811536756,0.1742786226684134,0.0008838334102692663,8.228571428571428
52,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713985,0.0012951805020713985,0.4079791893182676,0.005527150076352405,0.002857142857142857,0.022625444811536756,0.17370721734818909,0.0008838334102692664,8.411428571428571
53,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.4079791893182676,0.0,0.0,0.022625444811536756,0.17370721734818909,0.0008838334102692664,8.411428571428571
54,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356997,0.0006475902510356997,0.4107150730879123,0.002735883769644676,0.0014285714285714286,0.022625444811536756,0.17342151468807693,0.0008838334102692665,8.502857142857144
55,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.41343273001905556,0.0027176569311432863,0.0014285714285714286,0.022625444811536756,0.1731358120279648,0.0008838334102692665,8.594285714285714
56,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.0025903610041427966,0.0025903610041427966,0.42412444412345174,0.010691714104396177,0.005714285714285714,0.022625444811536756,0.17199300138751616,0.0008838334102692667,8.96
57,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070974,0.0019427707531070974,0.43195983926215237,0.00783539513870063,0.004285714285714286,0.022625444811536756,0.17113589340717972,0.0008838334102692666,9.234285714285715
58,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.43195983926215237,0.0,0.0,0.022625444811536756,0.17113589340717972,0.0008838334102692666,9.234285714285715
59,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.43453751662653517,0.002577677364382802,0.0014285714285714286,0.022625444811536756,0.17085019074706756,0.0008838334102692666,9.325714285714286
60,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.43453751662653517,0.0,0.0,0.022625444811536756,0.17085019074706756,0.0008838334102692666,9.325714285714286
61,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.43453751662653517,0.0,0.0,0.022625444811536756,0.17085019074706756,0.0008838334102692666,9.325714285714286
62,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356998,0.0006475902510356998,0.437098374814549,0.002560858188013826,0.0014285714285714286,0.022625444811536756,0.1705644880869554,0.0008838334102692665,9.417142857142856
63,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.43964255413208797,0.002544179317538975,0.0014285714285714286,0.022625444811536756,0.17027878542684324,0.0008838334102692666,9.508571428571429
64,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.43964255413208797,0.0,0.0,0.022625444811536756,0.17027878542684324,0.0008838334102692666,9.508571428571429
65,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.44217019201390373,0.0025276378818157585,0.0014285714285714286,0.022625444811536756,0.16999308276673109,0.0008838334102692666,9.6
66,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713983,0.0012951805020713983,0.4471763793543182,0.00500618734041447,0.002857142857142857,0.022625444811536756,0.1694216774465068,0.0008838334102692667,9.782857142857143
67,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.002590361004142797,0.002590361004142797,0.45699600423453995,0.009819624880221756,0.005714285714285714,0.022625444811536756,0.16827886680605816,0.0008838334102692665,10.148571428571428
68,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.4594114759100123,0.002415471675472347,0.0014285714285714286,0.022625444811536756,0.167993164145946,0.0008838334102692665,10.24
69,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.46419592660939835,0.004784450699386045,0.002857142857142857,0.02262544481153675,0.1674217588257217,0.0008838334102692666,10.422857142857143
70,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.46419592660939835,0.0,0.0,0.02262544481153675,0.1674217588257217,0.0008838334102692666,10.422857142857143
71,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.46656513349813045,0.0023692068887321005,0.0014285714285714286,0.02262544481153675,0.16713605616560953,0.0008838334102692665,10.514285714285714
72,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070979,0.0019427707531070979,0.47358200331844014,0.00701686982030969,0.004285714285714286,0.02262544481153675,0.16627894818527303,0.0008838334102692668,10.788571428571428
73,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.47589106537868575,0.0023090620602456147,0.0014285714285714286,0.02262544481153675,0.1659932455251609,0.0008838334102692668,10.88
74,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070985,0.0019427707531070985,0.48273000841638825,0.006838943037702494,0.004285714285714286,0.022625444811536752,0.16513613754482448,0.0008838334102692666,11.154285714285715
75,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.4849805725076542,0.0022505640912659497,0.0014285714285714286,0.02262544481153675,0.1648504348847123,0.0008838334102692668,11.245714285714286
76,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.4849805725076542,0.0,0.0,0.02262544481153675,0.1648504348847123,0.0008838334102692668,11.245714285714286
77,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070979,0.0019427707531070979,0.4916463549516304,0.006665782443976198,0.004285714285714286,0.02262544481153675,0.1639933269043758,0.0008838334102692668,11.52
78,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.002590361004142798,0.002590361004142798,0.500337017159768,0.008690662208137578,0.005714285714285714,0.02262544481153675,0.16285051626392721,0.0008838334102692668,11.885714285714286
79,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.5024750812354064,0.002138064075638435,0.0014285714285714286,0.022625444811536752,0.16256481360381508,0.0008838334102692668,11.977142857142857
80,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.5045994738115838,0.0021243925761773585,0.0014285714285714286,0.022625444811536756,0.16227911094370295,0.0008838334102692667,12.06857142857143
81,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.5067102769878793,0.002110803176295528,0.0014285714285714286,0.022625444811536756,0.16199340828359082,0.0008838334102692667,12.16
82,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070983,0.0019427707531070983,0.5129619510942572,0.006251674106377947,0.004285714285714286,0.022625444811536756,0.16113630030325435,0.0008838334102692666,12.434285714285714
83,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.0025903610041427974,0.0025903610041427974,0.5211120170536782,0.008150065959420916,0.005714285714285714,0.022625444811536756,0.15999348966280574,0.0008838334102692666,12.8
84,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.5231169051699749,0.0020048881162967325,0.0014285714285714286,0.022625444811536756,0.15970778700269359,0.0008838334102692667,12.891428571428571
85,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.5231169051699749,0.0,0.0,0.022625444811536756,0.15970778700269359,0.0008838334102692667,12.891428571428571
86,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.5251088856434845,0.001991980473509569,0.0014285714285714286,0.022625444811536756,0.15942208434258143,0.0008838334102692665,12.982857142857142
87,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.5270880283708259,0.001979142727341454,0.0014285714285714286,0.022625444811536756,0.15913638168246927,0.0008838334102692664,13.074285714285715
88,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.0025903610041427974,0.0025903610041427974,0.5348775824051175,0.007789554034291601,0.005714285714285714,0.022625444811536756,0.15799357104202066,0.0008838334102692666,13.44
89,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.5348775824051175,0.0,0.0,0.022625444811536756,0.15799357104202066,0.0008838334102692666,13.44
90,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.5367935478120531,0.0019159654069356158,0.0014285714285714286,0.022625444811536756,0.1577078683819085,0.0008838334102692666,13.531428571428572
91,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.001295180502071398,0.001295180502071398,0.540588220547598,0.0037946727355449017,0.002857142857142857,0.02262544481153675,0.15713646306168416,0.0008838334102692667,13.714285714285714
92,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.542467052512225,0.0018788319646270146,0.0014285714285714286,0.02262544481153675,0.15685076040157198,0.0008838334102692666,13.805714285714286
93,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.002209552606107158,0.002209552606107158,0.5496925476018579,0.007225495089632883,0.0014285714285714286,0.02262544481153675,0.15656505774145985,0.0008838334102692664,13.897142857142857
94,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.5534082888782094,0.0037157412763514364,0.002857142857142857,0.02262544481153675,0.15599365242123556,0.0008838334102692665,14.08
95,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.555247919479116,0.0018396306009066388,0.0014285714285714286,0.022625444811536752,0.15570794976112343,0.0008838334102692667,14.17142857142857
96,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.5588909919839031,0.003643072504787126,0.002857142857142857,0.022625444811536756,0.15513654444089914,0.0008838334102692668,14.354285714285714
