n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394454,0.0005149091572394454,0.027644237663278715,0.027644237663279825,0.004285714285714286,0.0009941330396813555,0.008749725808567099,3.883332414927569e-05,0.2742857142857143
1,gaussian,0.03,2.0,64,0.12,0.0036,700,0.043885714285714285,-0.0006865455429859257,0.0006865455429859257,0.0560015343548463,0.02835729669156758,0.005714285714285714,0.0009941330396813555,0.008699512174084647,3.883332414927563e-05,0.64
2,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.000514909157239445,0.000514909157239445,0.07487597323206335,0.018874438877217056,0.004285714285714286,0.0009941330396813553,0.008661851948222807,3.88333241492757e-05,0.9142857142857143
3,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.00034327277149296304,0.00034327277149296304,0.08670090604969838,0.011824932817635025,0.002857142857142857,0.0009941330396813553,0.008636745130981581,3.883332414927567e-05,1.0971428571428572
4,gaussian,0.03,2.0,64,0.12,0.0036,700,0.043885714285714285,-0.0006865455429859276,0.0006865455429859276,0.10895942760103175,0.02225852155133337,0.005714285714285714,0.0009941330396813555,0.008586531496499131,3.8833324149275536e-05,1.4628571428571429
5,gaussian,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.10895942760103175,0.0,0.0,0.0009941330396813555,0.008586531496499131,3.8833324149275536e-05,1.4628571428571429
6,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394446,0.0005149091572394446,0.12466566205486242,0.015706234453830667,0.004285714285714286,0.0009941330396813553,0.008548871270637292,3.883332414927553e-05,1.737142857142857
7,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929627,0.0003432727714929627,0.13474216817976686,0.010076506124904447,0.002857142857142857,0.0009941330396813553,0.008523764453396067,3.883332414927542e-05,1.92
8,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.000514909157239444,0.000514909157239444,0.14933774742427078,0.014595579244503915,0.004285714285714286,0.0009941330396813553,0.008486104227534229,3.883332414927548e-05,2.1942857142857144
9,gaussian,0.03,2.0,64,0.12,0.0036,700,0.010971428571428571,-0.00017163638574648168,0.00017163638574648168,0.1540761036710305,0.004738356246759723,0.0014285714285714286,0.0009941330396813553,0.008473550818913616,3.883332414927551e-05,2.2857142857142856
10,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.00034327277149296304,0.00034327277149296304,0.16337718899623616,0.009301085325205655,0.002857142857142857,0.0009941330396813553,0.00844844400167239,3.883332414927555e-05,2.4685714285714284
11,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394444,0.0005149091572394444,0.1769203511179453,0.01354316212170914,0.004285714285714286,0.0009941330396813553,0.008410783775810553,3.883332414927555e-05,2.742857142857143
12,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394444,0.0005149091572394444,0.19001503482324064,0.013094683705295346,0.004285714285714286,0.0009941330396813553,0.008373123549948713,3.883332414927546e-05,3.0171428571428573
13,gaussian,0.03,2.0,64,0.12,0.0036,700,0.010971428571428571,-0.00017163638574648136,0.00017163638574648136,0.19428722301933632,0.004272188196095678,0.0014285714285714286,0.0009941330396813553,0.008360570141328101,3.883332414927541e-05,3.1085714285714285
14,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394444,0.0005149091572394444,0.2068435046704583,0.012556281651121992,0.004285714285714286,0.0009941330396813553,0.008322909915466263,3.8833324149275475e-05,3.382857142857143
15,gaussian,0.03,2.0,64,0.12,0.0036,700,0.010971428571428571,-0.00017163638574648184,0.00017163638574648184,0.21094594632926053,0.0041024416588022194,0.0014285714285714286,0.0009941330396813555,0.008310356506845652,3.8833324149275495e-05,3.474285714285714
16,gaussian,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.21094594632926053,0.0,0.0,0.0009941330396813555,0.008310356506845652,3.8833324149275495e-05,3.474285714285714
17,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394444,0.0005149091572394444,0.2230185293690778,0.012072583039817258,0.004285714285714286,0.0009941330396813555,0.008272696280983812,3.883332414927548e-05,3.7485714285714287
18,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929638,0.0003432727714929638,0.23088032773024608,0.007861798361168293,0.002857142857142857,0.0009941330396813555,0.008247589463742587,3.8833324149275454e-05,3.9314285714285715
19,gaussian,0.03,2.0,64,0.12,0.0036,700,0.032914285714285715,-0.0005149091572394453,0.0005149091572394453,0.242409317769824,0.011528990039577913,0.004285714285714286,0.0009941330396813555,0.00820992923788075,3.8833324149275366e-05,4.2057142857142855
20,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929641,0.0003432727714929641,0.2499279023294667,0.007518584559642716,0.002857142857142857,0.0009941330396813555,0.008184822420639523,3.8833324149275414e-05,4.388571428571429
21,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929635,0.0003432727714929635,0.2573186405438336,0.007390738214366865,0.002857142857142857,0.0009941330396813555,0.008159715603398298,3.883332414927538e-05,4.571428571428571
22,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929638,0.0003432727714929638,0.2645862713255339,0.0072676307817003405,0.002857142857142857,0.0009941330396813555,0.008134608786157073,3.883332414927535e-05,4.7542857142857144
23,gaussian,0.03,2.0,64,0.12,0.0036,700,0.010971428571428571,-0.00017163638574648168,0.00017163638574648168,0.2681753008143383,0.003589029488804407,0.0014285714285714286,0.0009941330396813558,0.008122055377536462,3.8833324149275366e-05,4.845714285714286
24,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.0003432727714929632,0.0003432727714929632,0.2752663642990344,0.00709106348469607,0.002857142857142857,0.0009941330396813558,0.008096948560295235,3.883332414927534e-05,5.0285714285714285
25,gaussian,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-0.00034327277149296304,0.00034327277149296304,0.28224464939860594,0.006978285099571546,0.002857142857142857,0.0009941330396813558,0.00807184174305401,3.8833324149275305e-05,5.211428571428572
26,gaussian,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.28224464939860594,0.0,0.0,0.0009941330396813558,0.00807184174305401,3.8833324149275305e-05,5.211428571428572
