case_key,seed_case,gamma_jump_case,deltaS_hor_case,R2_constant,R2_gaussian,R2_oscillating,oscillating_is_lowest_R2,const_minus_osc_R2,gauss_minus_osc_R2
seed_20260900_Gm_0.09_dS_0.08,20260900,0.09,0.08,0.9487199054087408,0.28518803233291756,0.07582120736360876,True,0.8728986980451321,0.2093668249693088
seed_20260900_Gm_0.09_dS_0.12,20260900,0.09,0.12,0.9487199054087408,0.2851880323329177,0.07582120736360876,True,0.8728986980451321,0.20936682496930892
seed_20260900_Gm_0.12_dS_0.08,20260900,0.12,0.08,0.903270781873197,0.4751238175939252,0.020228505503538052,True,0.8830422763696589,0.45489531209038714
seed_20260900_Gm_0.12_dS_0.12,20260900,0.12,0.12,0.903270781873197,0.4751238175939251,0.020228505503538163,True,0.8830422763696588,0.4548953120903869
seed_20260901_Gm_0.09_dS_0.08,20260901,0.09,0.08,0.903758949665786,0.3575462766331675,0.017249673693918277,True,0.8865092759718677,0.34029660293924924
seed_20260901_Gm_0.09_dS_0.12,20260901,0.09,0.12,0.903758949665786,0.3575462766331676,0.017249673693918166,True,0.8865092759718678,0.34029660293924946
seed_20260901_Gm_0.12_dS_0.08,20260901,0.12,0.08,0.9633475107046235,0.33649880909884,0.034097793190198455,True,0.9292497175144251,0.30240101590864155
seed_20260901_Gm_0.12_dS_0.12,20260901,0.12,0.12,0.9633475107046237,0.33649880909883967,0.03409779319019812,True,0.9292497175144255,0.30240101590864155
seed_20260902_Gm_0.09_dS_0.08,20260902,0.09,0.08,0.9249777015597191,0.25665127034561086,0.020352116820091415,True,0.9046255847396277,0.23629915352551945
seed_20260902_Gm_0.09_dS_0.12,20260902,0.09,0.12,0.9249777015597191,0.25665127034561075,0.020352116820091415,True,0.9046255847396277,0.23629915352551933
seed_20260902_Gm_0.12_dS_0.08,20260902,0.12,0.08,0.9488742098128715,0.19141374642017217,0.00830991252126878,True,0.9405642972916027,0.1831038338989034
seed_20260902_Gm_0.12_dS_0.12,20260902,0.12,0.12,0.9488742098128715,0.19141374642017217,0.00830991252126867,True,0.9405642972916028,0.1831038338989035
seed_20260903_Gm_0.09_dS_0.08,20260903,0.09,0.08,0.9476991530297221,0.4266121054983245,0.05213569114111272,True,0.8955634618886094,0.3744764143572118
seed_20260903_Gm_0.09_dS_0.12,20260903,0.09,0.12,0.947699153029722,0.4266121054983246,0.05213569114111316,True,0.8955634618886088,0.37447641435721146
seed_20260903_Gm_0.12_dS_0.08,20260903,0.12,0.08,0.9581226161835241,0.2600500024267781,0.07112608687877886,True,0.8869965293047453,0.18892391554799925
