case_key,seed_case,gamma_jump_case,deltaS_hor_case,R2_constant,R2_gaussian,R2_oscillating,oscillating_is_lowest_R2,const_minus_osc_R2,gauss_minus_osc_R2
seed_20260909_Gm_0.09_dS_0.12,20260909,0.09,0.12,0.8874217102646879,0.3782995429447855,0.11619012843993437,True,0.7712315818247535,0.26210941450485115
seed_20260909_Gm_0.09_dS_0.08,20260909,0.09,0.08,0.8874217102646879,0.3782995429447854,0.11619012843993404,True,0.7712315818247538,0.26210941450485137
seed_20260907_Gm_0.09_dS_0.08,20260907,0.09,0.08,0.8835551792822853,0.24580671890703654,0.09425925417964609,True,0.7892959251026392,0.15154746472739045
seed_20260907_Gm_0.09_dS_0.12,20260907,0.09,0.12,0.8835551792822854,0.24580671890703631,0.09425925417964576,True,0.7892959251026397,0.15154746472739056
seed_20260906_Gm_0.12_dS_0.12,20260906,0.12,0.12,0.8958287204200823,0.15694555198939586,0.08872220368388273,True,0.8071065167361996,0.06822334830551313
seed_20260906_Gm_0.12_dS_0.08,20260906,0.12,0.08,0.8958287204200823,0.15694555198939575,0.08872220368388262,True,0.8071065167361997,0.06822334830551313
seed_20260900_Gm_0.09_dS_0.12,20260900,0.09,0.12,0.9487199054087408,0.2851880323329177,0.07582120736360876,True,0.8728986980451321,0.20936682496930892
seed_20260900_Gm_0.09_dS_0.08,20260900,0.09,0.08,0.9487199054087408,0.28518803233291756,0.07582120736360876,True,0.8728986980451321,0.2093668249693088
seed_20260908_Gm_0.12_dS_0.12,20260908,0.12,0.12,0.9601387167226223,0.41003360998600036,0.08688088414470829,True,0.873257832577914,0.32315272584129207
seed_20260908_Gm_0.12_dS_0.08,20260908,0.12,0.08,0.9601387167226223,0.41003360998600047,0.08688088414470818,True,0.8732578325779141,0.3231527258412923
seed_20260910_Gm_0.09_dS_0.08,20260910,0.09,0.08,0.9748193162353523,0.40494951748423746,0.09936734118105595,True,0.8754519750542964,0.3055821763031815
seed_20260910_Gm_0.09_dS_0.12,20260910,0.09,0.12,0.9748193162353523,0.4049495174842376,0.09936734118105583,True,0.8754519750542965,0.30558217630318174
