n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,0.6,0.006299999999999999,0.004491408667495122,-0.004491408667495122,0.06509585719492371,0.06509585719492504,0.00875,-0.024271590678564502,-0.10920043448964664,0.9704194543754645,0.0525
1,0.6,0.0072,0.0038416055548034962,-0.0038416055548034962,0.1281480917972679,0.0630522346023442,0.01,-0.024271590678564502,-0.10809879076213444,0.9704194543754645,0.1125
2,0.6,0.0072,0.006748396108528576,-0.006748396108528576,0.1858188237200603,0.0576707319227924,0.01,-0.024271590678564502,-0.10699714703462224,0.9704194543754645,0.1725
3,0.6,0.0063,0.007060646343933232,-0.007060646343933232,0.23435170957251333,0.04853288585245302,0.00875,-0.024271590678564502,-0.10603320877304907,0.9704194543754645,0.225
4,0.6,0.0072,0.006742670795469701,-0.006742670795469701,0.2869141938909842,0.05256248431847088,0.01,-0.024271590678564502,-0.10493156504553688,0.9704194543754645,0.285
5,0.6,0.0027,0.001710354174006367,-0.001710354174006367,0.30569765031398355,0.018783456422999334,0.00375,-0.024271590678564502,-0.1045184486477198,0.9704194543754645,0.3075
6,0.6,0.008100000000000001,0.004067768904319611,-0.004067768904319611,0.3612316196727695,0.05553396935878596,0.01125,-0.024271590678564502,-0.10327909945426858,0.9704194543754645,0.375
7,0.6,0.0054,0.004633241720162974,-0.004633241720162974,0.39714985738703745,0.03591823771426794,0.0075,-0.024271590678564502,-0.10245286665863444,0.9704194543754647,0.42
8,0.6,0.0018,0.002463892028367563,-0.002463892028367563,0.4089901302506755,0.011840272863638035,0.0025,-0.024271590678564502,-0.10217745572675638,0.9704194543754645,0.435
9,0.6,0.008100000000000001,0.007510785157647796,-0.007510785157647796,0.45998001508358943,0.050989884832913945,0.01125,-0.024271590678564502,-0.10093810653330516,0.9704194543754645,0.5025
10,0.6,0.0045000000000000005,0.0047299898850920435,-0.0047299898850920435,0.48694180184778846,0.026961786764199025,0.00625,-0.024271590678564502,-0.10024957920361004,0.9704194543754645,0.54
11,0.6,0.0054,0.0052715734951639,-0.0052715734951639,0.5197359691890748,0.03279416734128637,0.0075,-0.024271590678564502,-0.09942334640797588,0.9704194543754645,0.585
12,0.6,0.0054,0.006108091825879814,-0.006108091825879814,0.5516472831349877,0.031911313945912845,0.0075,-0.024271590678564502,-0.09859711361234175,0.9704194543754645,0.63
13,0.6,0.0027,0.0018169828662852865,-0.0018169828662852865,0.5674530053076673,0.015805722172679615,0.00375,-0.024271590678564502,-0.09818399721452466,0.9704194543754647,0.6525
14,0.6,0.0054,0.005258871693217437,-0.005258871693217437,0.5985145809021557,0.03106157559448841,0.0075,-0.024271590678564502,-0.09735776441889052,0.9704194543754647,0.6975
15,0.6,0.0072,0.005236493474460899,-0.005236493474460899,0.6387565800705096,0.040241999168353915,0.01,-0.024271590678564502,-0.09625612069137832,0.9704194543754647,0.7575
16,0.6,0.0054,0.0043898198898292985,-0.0043898198898292985,0.6694223385130155,0.030665758442505853,0.0075,-0.024271590678564502,-0.09542988789574416,0.9704194543754645,0.8025
17,0.6,0.0072,0.008349128804270118,-0.008349128804270118,0.7087904422009026,0.039368103687887124,0.01,-0.024271590678564502,-0.09432824416823196,0.9704194543754647,0.8625
18,0.6,0.0045,0.005016209027705971,-0.005016209027705971,0.7325007172203596,0.023710275019456994,0.00625,-0.024271590678564502,-0.09363971683853685,0.9704194543754647,0.9
19,0.6,0.0045,0.006194896783030265,-0.006194896783030265,0.7558175410317194,0.0233168238113598,0.00625,-0.024271590678564502,-0.09295118950884172,0.9704194543754645,0.9375
20,0.6,0.0072,0.004563131773212948,-0.004563131773212948,0.7932232042720708,0.03740566324035144,0.01,-0.024271590678564502,-0.09184954578132952,0.9704194543754645,0.9975
21,0.6,0.0027,0.0015157634800449832,-0.0015157634800449832,0.8067745768419055,0.01355137256983463,0.00375,-0.024271590678564502,-0.09143642938351244,0.9704194543754645,1.02
22,0.6,0.0045000000000000005,0.0044324550688293295,-0.0044324550688293295,0.8287563922250384,0.02198181538313293,0.00625,-0.024271590678564502,-0.09074790205381732,0.9704194543754645,1.0575
23,0.6,0.008100000000000001,0.009571716420058723,-0.009571716420058723,0.8689078063830675,0.04015141415802914,0.01125,-0.024271590678564502,-0.0895085528603661,0.9704194543754645,1.125
24,0.6,0.0045000000000000005,0.002360251924147497,-0.002360251924147497,0.890989115499872,0.022081309116804504,0.00625,-0.024271590678564502,-0.08882002553067098,0.9704194543754645,1.1625
25,0.6,0.0072,0.0038787681343145147,-0.0038787681343145147,0.9262841170796192,0.03529500157974719,0.01,-0.024271590678564502,-0.08771838180315879,0.9704194543754645,1.2225
26,0.6,0.0036,0.0027842318009981626,-0.0027842318009981626,0.9429953523240318,0.016711235244412537,0.005,-0.024271590678564502,-0.08716755993940269,0.9704194543754645,1.2525
27,0.6,0.0054,0.004521870144260151,-0.004521870144260151,0.9686276478239491,0.0256322954999173,0.0075,-0.024271590678564502,-0.08634132714376852,0.9704194543754647,1.2975
28,0.6,0.0072,0.005644008588347338,-0.005644008588347338,1.0022034970020879,0.03357584917813883,0.01,-0.024271590678564502,-0.08523968341625635,0.9704194543754645,1.3575
29,0.6,0.0018,0.0026156742484351302,-0.0026156742484351302,1.0106373147662258,0.008433817764137874,0.0025,-0.024271590678564502,-0.08496427248437828,0.9704194543754647,1.3725
30,0.6,0.0036,0.004365860170797754,-0.004365860170797754,1.0268875225815832,0.016250207815357465,0.005,-0.024271590678564502,-0.08441345062062218,0.9704194543754647,1.4025
