k,mu,d_raw,d_holo,d_eff,weight,cut_fraction
0,0.0,4,4,4,0.05,0.0
1,0.3157894736842105,5,5,5,0.05,0.0
2,0.631578947368421,7,6,6,0.05,0.1428571428571429
3,0.9473684210526315,9,7,7,0.05,0.2222222222222222
4,1.263157894736842,12,8,8,0.05,0.33333333333333337
5,1.5789473684210527,17,10,10,0.05,0.4117647058823529
6,1.894736842105263,22,11,11,0.05,0.5
7,2.2105263157894735,29,13,13,0.05,0.5517241379310345
8,2.526315789473684,39,16,16,0.05,0.5897435897435898
9,2.8421052631578947,52,19,19,0.05,0.6346153846153846
10,3.1578947368421053,69,23,23,0.05,0.6666666666666667
11,3.4736842105263155,91,27,27,0.05,0.7032967032967032
12,3.789473684210526,121,32,32,0.05,0.7355371900826446
13,4.105263157894736,161,38,38,0.05,0.7639751552795031
14,4.421052631578947,214,46,46,0.05,0.7850467289719626
15,4.7368421052631575,256,54,54,0.05,0.7890625
16,5.052631578947368,256,64,64,0.05,0.75
17,5.368421052631579,256,77,77,0.05,0.69921875
18,5.684210526315789,256,91,91,0.05,0.64453125
19,6.0,256,108,108,0.05,0.578125
