k,mu,d_raw,d_eff,weight,source_raw,source_cut,source_raw_reg,source_cut_reg,trace_rhs_raw_abs,trace_rhs_cut_abs,dyn_norm_raw,dyn_norm_cut
0.0,0.0,4.0,4.0,0.05,-0.018128421761442276,-0.018128421761442276,-0.004532105440360569,-0.004532105440360569,8.740101992468468e-17,8.740101992468468e-17,0.8048766299459614,0.8048766299459614
1.0,0.3157894736842105,5.0,5.0,0.05,0.021488290958628337,0.021488290958628337,0.004297658191725668,0.004297658191725668,4.5102810375396984e-17,4.5102810375396984e-17,0.7643795214731196,0.7643795214731196
2.0,0.631578947368421,7.0,6.0,0.05,0.15610581977504034,0.2917807740053847,0.022300831396434333,0.04863012900089745,8.381156293926111e-17,4.413129043417917e-17,0.8642108416238117,0.6908640203599973
3.0,0.9473684210526315,9.0,7.0,0.05,0.16473717989676964,0.06753989968616447,0.01830413109964107,0.009648557098023496,2.6765524040547662e-17,7.084943892971464e-17,0.7908276345130847,0.5876145906922466
4.0,1.263157894736842,12.0,8.0,0.05,0.24210124268771954,0.25511982971111974,0.020175103557309962,0.03188997871388997,4.119968255444917e-18,2.790952044683657e-17,1.1393021423237004,0.7673038274398392
5.0,1.5789473684210527,17.0,10.0,0.05,0.1565972208818393,0.008653013597384865,0.009211601228343488,0.0008653013597384865,2.3571861821813714e-17,2.8144393194766135e-17,0.811454018767909,0.6210812889528147
6.0,1.894736842105263,22.0,11.0,0.05,-0.11939137561569477,-0.13062052422424714,-0.005426880709804308,-0.011874593111295195,5.562116312117267e-17,3.342993113084446e-17,0.5917830485149429,0.4281248338740729
7.0,2.2105263157894735,29.0,13.0,0.05,0.11804757214509062,0.15238301487938033,0.004070605936037607,0.011721770375336948,6.952264671598062e-17,3.1907427071195745e-17,0.8704283549386878,0.4751426733841822
8.0,2.526315789473684,39.0,16.0,0.05,-0.049276462445245695,-0.12460535208068861,-0.001263499037057582,-0.007787834505043038,1.0164946488214848e-17,3.0539542671187736e-17,0.92549757218776,0.47347311293347344
9.0,2.8421052631578947,52.0,19.0,0.05,0.030567960538905474,0.03452168501157759,0.0005878453949789514,0.001816930790083031,3.087867177120255e-17,2.5188431798744404e-17,0.8944588771310095,0.4394692754941204
10.0,3.1578947368421053,69.0,23.0,0.05,0.06545162895404073,0.02464643990320774,0.000948574332667257,0.0010715843436177278,2.2768836079694287e-17,5.425904504074552e-18,0.9470831432260131,0.2876559603304449
11.0,3.4736842105263155,91.0,27.0,0.05,0.03176484717132007,-0.056419515441906286,0.00034906425462989085,-0.0020896116830335662,4.1435037726801394e-17,3.823524617763431e-17,0.8140562268275275,0.3992165488199794
12.0,3.789473684210526,121.0,32.0,0.05,0.019986209232613197,0.11252804974289149,0.00016517528291415864,0.003516501554465359,8.968384845528532e-18,8.162982683323588e-18,0.907259092436791,0.3002155187419836
13.0,4.105263157894736,161.0,38.0,0.05,-0.08766573929957318,-0.10857087652411496,-0.0005445076975128768,-0.0028571283295819724,2.912693415967861e-17,1.9173391992247415e-17,0.96585049476714,0.34214669625517136
14.0,4.421052631578947,214.0,46.0,0.05,-0.02857770545006655,0.023308607551719193,-0.00013354067967320818,0.0005067088598199825,5.691134916891326e-17,1.8444581497442547e-17,0.8745306249258705,0.33082366770223376
15.0,4.7368421052631575,256.0,54.0,0.05,-0.04866755393226278,-0.04649184906677198,-0.0001901076325479015,-0.0008609601679031848,2.6831097051189146e-17,3.013369561173085e-18,0.902299589131575,0.30174899784021747
16.0,5.052631578947368,256.0,64.0,0.05,-0.02353229080050056,-0.06879717020603587,-9.192301093945531e-05,-0.0010749557844693105,4.866916775502778e-17,1.3762062494682283e-17,0.8562186190439849,0.3283698066022392
17.0,5.368421052631579,256.0,77.0,0.05,-0.032851347716934126,0.016613367753544855,-0.00012832557701927393,0.0002157580227733098,9.154118938466462e-18,1.329393252826909e-17,0.8660248242281184,0.38579898168579735
18.0,5.684210526315789,256.0,91.0,0.05,0.022526131304344416,0.059918661183315604,8.799270040759537e-05,0.0006584468261902814,4.085220881062441e-17,7.697531388991324e-18,0.9106032906909848,0.4551875786362418
19.0,6.0,256.0,108.0,0.05,-0.0025839534922866766,-0.05038899667837192,-1.009356832924483e-05,-0.00046656478405899924,6.938894110702378e-18,2.1697202348990368e-17,0.9577776956016116,0.4045283869129892
