case_id,seed,k_layers,mu_min,mu_max,d0,growth,holo_growth,d_max,mix_pure,weight_mode,resolution_scan,mean_cut_fraction,lambda_raw_unreg,lambda_cut_unreg,lambda_raw_reg,lambda_cut_reg,trace_raw_max,trace_cut_max,resolution_stability_gain,pass_trace_tol,pass_stability_gain,pass_all
0,20270222,20,0.0,7.0,4,0.7681763217980598,0.36169454884740965,128,0.4797679657445849,uniform,"8,12,16,20,24",0.5855842502437096,0.030450967869807666,0.03239667536012872,0.0038945993334882894,0.006376580266520607,8.29153180970149e-17,4.5107501390847554e-17,5.423436036585626,True,True,True
1,20270223,20,0.0,7.0,2,0.8852282213254389,0.5223748292378098,192,0.7239814616785137,inv_dim,"8,12,16,20,24",0.5902198782471999,0.14032722799961408,0.051035535145161556,0.04851469608997373,0.012872482922859831,1.3646310399027935e-16,8.353761908649096e-17,2.3804577546628147,True,True,True
2,20270224,16,0.0,5.0,2,0.7141812925024711,0.6264579141146421,256,0.54660017685954,uniform,"8,12,16,20,24",0.18746437223290993,0.014659092347167016,0.0017294965232937075,-0.008774234587747913,-0.013032698077508845,2.2209584450625177e-16,2.2209584450625177e-16,3.342566030713591,True,True,True
3,20270225,16,0.0,4.5,6,0.9246023085369618,0.5499594988712843,256,0.6704493850151758,inv_dim,"8,12,16,20,24",0.5023712931074067,-0.07522738693643974,-0.06523986584799388,-0.009514191182892621,-0.009438996209911581,9.72064493212764e-17,1.2748760799026484e-16,6.41383133940126,True,True,True
4,20270226,24,0.0,4.5,6,0.8031163230654355,0.3633742387760159,128,0.5530225173664308,uniform,"8,12,16,20,24",0.5508306532068916,-0.040719338998194694,-0.03750666132134246,-0.006084497541647741,-0.005927448194148291,1.0669700729022847e-16,2.3054248201385277e-16,11.973624838642568,True,True,True
5,20270227,20,0.0,5.0,4,0.846194015621977,0.7669929527660688,128,0.6570486114843476,inv_dim,"8,12,16,20,24",0.1270607461654602,0.08106626586315052,0.08864860587941792,0.012251144909283081,0.0139730177268633,1.1455847873152903e-16,7.102791483696038e-17,3.7132302971535034,True,True,True
6,20270228,16,0.0,6.0,2,0.7117493177138219,0.6437236436491747,128,0.6220407615298398,uniform,"8,12,16,20,24",0.18946020194707108,-0.04245734549946278,-0.06782737235349712,-0.016512935931411173,-0.017310096062976694,1.394310972147515e-16,6.942628314302312e-17,2.642766245992088,True,True,True
7,20270229,24,0.0,5.0,6,0.8503286748738416,0.4704230741534985,192,0.7642567197141701,uniform,"8,12,16,20,24",0.5273400450493329,0.017967687518254845,0.016317588818172732,0.002556914528235657,0.0023079749481073964,1.1723509725722207e-16,9.570895620573757e-17,5.969019031289137,True,True,True
8,20270230,24,0.0,5.0,2,0.9078508752469863,0.5926929041283464,256,0.6024915954584188,uniform,"8,12,16,20,24",0.48931483909540363,0.014049052398714679,0.028057958826934515,0.006726611052578832,0.006468262397334049,1.6657918719324708e-16,1.0755285551056204e-16,2.544202022959097,True,True,True
9,20270231,20,0.0,5.0,6,0.830984705889652,0.5865880749226797,128,0.7589015706950044,uniform,"8,12,16,20,24",0.3322450090436118,0.05884781128635708,0.04372079293496286,0.003797488460364842,0.0037481897770438085,1.1707960439452115e-16,8.736812986724396e-17,5.97165274088156,True,True,True
10,20270232,20,0.0,7.0,2,0.7471998307752721,0.4308372243375485,192,0.6702584680874656,uniform,"8,12,16,20,24",0.5894302825278761,-0.09539192437893278,-0.10953612182900399,-0.03207003519027096,-0.04495599239358943,1.261258496534626e-16,8.326672684688674e-17,1.977575613640219,True,True,True
11,20270233,12,0.0,6.0,4,0.8396645659710003,0.42637521624292757,128,0.5315934216209213,uniform,"8,12,16,20,24",0.5577967595986749,-7.576366952538474e-05,0.009801553229108983,0.002133786959970358,0.003027906333462384,6.939294475268508e-17,6.548581121812447e-17,7.054475442956566,True,True,True
12,20270234,20,0.0,5.0,2,0.7357936075307171,0.5436063878357061,192,0.7736283811177921,uniform,"8,12,16,20,24",0.3419647411358134,0.056771790385146806,0.02191198864663519,-0.0005895111923252899,-0.012185561445060356,1.2592064246727649e-16,1.594813855221478e-16,2.9583666734549463,True,True,True
13,20270235,20,0.0,5.0,4,0.7952783307594373,0.7083144661652173,192,0.524978471762243,uniform,"8,12,16,20,24",0.17624736032819635,0.01780824734941342,0.013478540482816347,0.0038838902464807647,0.003224350890080011,1.0408963406458869e-16,9.196079859624825e-17,3.591520240254616,True,True,True
14,20270236,12,0.0,4.5,6,0.895639057752795,0.4061631030361856,128,0.49973969501225196,inv_dim,"8,12,16,20,24",0.5554033314449981,-0.0790998033267393,-0.10558244747223199,-0.008842933142447938,-0.014818362876075642,7.63137400938349e-17,4.9461203013233274e-17,7.22088600776608,True,True,True
15,20270237,12,0.0,7.0,6,0.7164537419463306,0.5891956196510244,256,0.5705989048228737,inv_dim,"8,12,16,20,24",0.21748030396040796,-0.11776470604659924,-0.09992306756153417,-0.0204915840946203,-0.019660467234288048,8.706982058182139e-17,8.706982058182139e-17,7.489495024682161,True,True,True
16,20270238,20,0.0,6.0,4,0.702040337031705,0.45806899163587644,192,0.760162886345153,uniform,"8,12,16,20,24",0.46327615886668355,0.09350371263961264,0.10428618762504975,0.014833940031471845,0.017293821728801125,1.1840531420701559e-16,1.0064913653337139e-16,4.148484888817085,True,True,True
