case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20260223,4,3,0.3333333333333333,0.015,60,0.35,0.9,0.013303317122025982,0.0016223406637022996
1,20260223,4,3,0.3333333333333333,0.03,30,0.35,0.9,0.02620232347718726,0.0032676341933544975
2,20260223,4,3,0.3333333333333333,0.06,15,0.35,0.9,0.05082738468702899,0.006628714775171115
3,20260223,4,3,0.3333333333333333,0.12,7,0.35,0.9,0.09566556670552931,0.014255511136287657
4,20261223,4,4,0.25,0.015,60,0.35,0.9,0.003941174461309344,0.0007936536054475647
5,20261223,4,4,0.25,0.03,30,0.35,0.9,0.007818146652728952,0.0015935464934375232
6,20261223,4,4,0.25,0.06,15,0.35,0.9,0.015378011634443717,0.003211816415692924
7,20261223,4,4,0.25,0.12,7,0.35,0.9,0.03064414519489711,0.006758209221785415
8,20262223,4,5,0.2,0.015,60,0.35,0.9,0.0022471917822260157,0.00035787629110552605
9,20262223,4,5,0.2,0.03,30,0.35,0.9,0.004490609384670247,0.0007181681916681642
10,20262223,4,5,0.2,0.06,15,0.35,0.9,0.008960903346951543,0.0014451826699944704
11,20262223,4,5,0.2,0.12,7,0.35,0.9,0.01779879537816187,0.0030430448272535746
12,20263223,4,6,0.16666666666666666,0.015,60,0.35,0.9,0.002733042865962626,0.0005664864220461285
13,20263223,4,6,0.16666666666666666,0.03,30,0.35,0.9,0.005382148359400776,0.0011370311256523723
14,20263223,4,6,0.16666666666666666,0.06,15,0.35,0.9,0.010437881941072327,0.0022900028588048213
15,20263223,4,6,0.16666666666666666,0.12,7,0.35,0.9,0.019644782470188867,0.004838563501266049
