case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270225,5,3,0.3333333333333333,0.015,50,0.5731006410646189,1.1468971193799666,0.008783829194244641,0.001834687331173114
1,20270225,5,3,0.3333333333333333,0.03,25,0.5731006410646189,1.1468971193799666,0.017351147224083263,0.0036908158044497157
2,20270225,5,3,0.3333333333333333,0.06,12,0.5731006410646189,1.1468971193799666,0.033845807534755856,0.007662917280837411
3,20270225,5,3,0.3333333333333333,0.12,6,0.5731006410646189,1.1468971193799666,0.06434212936950406,0.01567674135230188
4,20271225,5,4,0.25,0.015,50,0.5731006410646189,1.1468971193799666,0.007244582431082822,0.0007823619308876511
5,20271225,5,4,0.25,0.03,25,0.5731006410646189,1.1468971193799666,0.014256741176675636,0.0015776225618004658
6,20271225,5,4,0.25,0.06,12,0.5731006410646189,1.1468971193799666,0.027586409797083628,0.0032899139533338223
7,20271225,5,4,0.25,0.12,6,0.5731006410646189,1.1468971193799666,0.0514855068545203,0.006795438105362608
8,20272225,5,5,0.2,0.015,50,0.5731006410646189,1.1468971193799666,0.011918973999053645,0.0014666162272939142
9,20272225,5,5,0.2,0.03,25,0.5731006410646189,1.1468971193799666,0.023350461792830984,0.0029554935440229725
10,20272225,5,5,0.2,0.06,12,0.5731006410646189,1.1468971193799666,0.04482843934636879,0.006196358334634508
11,20272225,5,5,0.2,0.12,6,0.5731006410646189,1.1468971193799666,0.08278662639005205,0.012717822849179774
