case_id,seed,n_sites,k_values,dt_values,n_steps,gamma_deph,eta0,delta_mu_span,intercept_tol,intercept_max_abs_residual,fit_r2_max_abs_residual,max_residual_overall,intercept_scaled_tol,pass_hard_tol,pass_scaled_tol,pass_r2_nontrivial,pass_all
7,20270231,5,"3,4,5","0.12,0.06,0.03,0.015",60,0.7699607000165558,1.2909874353267905,1.0,0.0005,0.010451882989280632,0.9411945244754985,0.1911739604482533,0.015293916835860264,False,True,True,True
2,20270226,5,"3,4,5","0.10,0.05,0.025,0.0125",40,0.7378353685304458,1.378444468558795,1.0,0.002,0.009096613937988551,0.9319022878187498,0.17435992679974976,0.013948794143979981,False,True,True,True
1,20270225,5,"3,4,5","0.12,0.06,0.03,0.015",50,0.5731006410646189,1.1468971193799666,1.0,0.0005,0.004754433134361284,0.9140439285138566,0.08278662639005205,0.006622930111204164,True,True,True,True
6,20270230,4,"3,4,5,6","0.10,0.05,0.025,0.0125",50,0.5949048312015786,1.4470460996034624,1.0,0.0005,0.004698972315321502,0.9537557675776123,0.123664461858498,0.00989315694867984,True,True,True,True
8,20270232,5,"3,4,5","0.10,0.05,0.025,0.0125",60,0.7020744030452793,1.156263791710525,1.0,0.0005,0.0041672628735878086,0.875199896462577,0.13406901070853172,0.010725520856682538,True,True,True,True
5,20270229,4,"3,4,5,6","0.10,0.05,0.025,0.0125",60,0.3899900791593275,1.37538584865445,1.0,0.001,0.003014014175842368,0.6676410078000568,0.12533113487828823,0.010026490790263059,True,True,True,True
0,20270224,5,"3,4,5","0.12,0.06,0.03,0.015",60,0.44609374967037735,0.6744512391638847,1.0,0.0005,0.00147306296503148,0.9207209402667317,0.0418672418815028,0.005,True,True,True,True
10,20270234,4,"3,4,5,6","0.10,0.05,0.025,0.0125",40,0.48063043525314547,1.0882257016275263,1.0,0.001,0.0007101095562609476,0.8384658861529308,0.13306169416173297,0.010644935532938637,True,True,True,True
11,20270235,4,"3,4,5,6","0.10,0.05,0.025,0.0125",40,0.44356718814574236,0.5859071270074144,1.0,0.0005,0.00016153846488766672,0.655743289715021,0.06261092083475567,0.005008873666780453,True,True,True,True
4,20270228,4,"3,4,5,6","0.12,0.06,0.03,0.015",60,0.36481145222070915,0.569180260094367,1.0,0.002,-0.00011991699531684597,0.6030781345954288,0.05145488131210907,0.005,True,True,True,True
9,20270233,4,"3,4,5,6","0.10,0.05,0.025,0.0125",60,0.41537610272400766,1.410878206876258,1.0,0.002,-0.00026926410418031196,0.6423440179436799,0.13207795819792656,0.010566236655834125,True,True,True,True
3,20270227,5,"3,4,5","0.12,0.06,0.03,0.015",40,0.705503194979049,0.9070213758334623,1.0,0.002,-0.0026403960810672954,0.8659472102737037,0.1482071253226176,0.011856570025809407,True,True,True,True
