case_id,case_seed,alpha1,alpha2,theta1,theta2,phi_min,phi_max,corr_source_comm,corr_source_fs_omega,corr_source_resp_det,corr_source_resp_ricci,gauge_max_source_diff,gauge_max_response_metric_diff,max_corr_delta_coarse,avg_resp_ricci_finite_frac,pass_case
0,1829338324,0.3335791597716371,0.7872133603433796,0.5430202319275411,0.5187537072134047,0.1590518245853265,1.494388835902837,0.9937613295909031,0.9937613295909064,0.2690367038484244,,5.551115123125783e-16,8.404388296412435e-14,0.0031382154822981456,0.5847750865051903,True
1,384259585,0.22256476603753167,0.7689571673800977,0.5112532176364505,0.8614988320909388,0.17198501605372782,1.4216851171190559,0.9939086296429972,0.9939086296429964,0.5170687764796742,,1.3322676295501878e-15,3.668176873361517e-13,0.015623900896037046,0.5847750865051903,True
2,1297454207,0.3036368871173644,0.9365845163051494,0.5772874399760454,0.5097349738557067,0.1077899215500159,1.311109925347719,0.9966837637752995,0.996683763775299,0.7162506000264102,,4.440892098500626e-16,8.43769498715119e-14,0.01324106602300057,0.5847750865051903,True
3,1616479868,0.3061960424028596,0.7416520727450753,0.671799473007942,0.3271906701254117,0.12477019015387208,1.3485988163057456,0.998361809957086,0.9983618099570837,0.5799083892278705,,1.2212453270876722e-15,1.1790568521519162e-13,0.011484893184632639,0.5847750865051903,True
4,354804651,0.3227678090414527,0.7604243870167751,0.5119962616478659,0.43727302789228295,0.16746240571921794,1.4653148251907868,0.9961822236586463,0.9961822236586477,0.26849321592019326,,5.551115123125783e-16,8.415490526658687e-14,0.0020330197135782213,0.5847750865051903,True
5,419613150,0.32561032240439497,0.718160611738041,0.7966007080310452,0.6354913297214255,0.1232762739619952,1.49312139173114,0.9946078825272087,0.9946078825272073,0.5102153921273488,,5.551115123125783e-16,1.0275114092905824e-13,0.011251010969577424,0.5847750865051903,True
6,8899727,0.347038768832108,0.7239489324632931,0.495083340377192,0.712470898120479,0.10278919789073576,1.383139787205918,0.9939134953442269,0.9939134953442256,0.6145185286600142,,6.661338147750939e-16,7.416289804496046e-14,0.014923224502952803,0.5847750865051903,True
7,685781301,0.31920682872493344,0.6336600111021626,0.7017458896777156,0.627150516189793,0.14215032596259378,1.3504789655351441,0.9960815052790601,0.9960815052790589,0.7106940996713297,,4.440892098500626e-16,2.433608869978343e-13,0.012474072706184391,0.5847750865051903,True
8,770410468,0.29875912270009347,0.7537445789031785,0.6772812580538341,0.6432194025178716,0.12162706429924663,1.250486635473841,0.9970863548216073,0.9970863548216071,0.8534367141044759,,6.661338147750939e-16,9.059419880941277e-14,0.008766447517521536,0.5847750865051903,True
9,902358154,0.370567454586121,0.8502595651582887,0.5236796520769588,0.5999748125502686,0.0893445933494618,1.4942700995894054,0.9927656964741329,0.9927656964741356,0.39805036754657575,,5.551115123125783e-16,2.2470914018413168e-13,0.010504696628597765,0.5847750865051903,True
10,953091998,0.19409645220373992,0.5932120614994306,0.7012284142403967,0.4959733534820143,0.1367049758364449,1.362474159825058,0.9970050453455,0.9970050453455,0.6401369737244499,,4.996003610813204e-16,1.567634910770721e-13,0.012263082964412586,0.5847750865051903,True
11,2125442234,0.36581091783140995,1.0650431183134268,0.7708939875793377,0.6677238605120278,0.09602743126680698,1.505706762494149,0.9938138062712617,0.9938138062712631,0.5225589714724682,,1.4432899320127035e-15,5.95967719618784e-13,0.011311135289955754,0.5847750865051903,True
