n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,-0.0013703250074356148,0.0013703250074356148,0.038240672751678036,0.03824067275167967,0.005555555555555556,0.011280131817925546,0.0985939725585418,0.11025950606378838,0.35555555555555557
1,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461707,0.0033672102277461707,0.05349856351556612,0.015257890763888081,0.002777777777777778,0.011280131817925544,0.09831857040055703,0.1102595060637884,0.5333333333333333
2,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461716,0.0033672102277461716,0.0672952063131323,0.013796642797566178,0.002777777777777778,0.011280131817925544,0.09804316824257228,0.11025950606378841,0.7111111111111111
3,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461707,0.0033672102277461707,0.08014016281611848,0.012844956502986185,0.002777777777777778,0.011280131817925546,0.09776776608458754,0.11025950606378841,0.8888888888888888
4,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.06438776425269206,0.005990655660931668,-0.005990655660931668,0.1219692295071267,0.04182906669100822,0.008333333333333333,0.011280131817925547,0.09694155961063328,0.11025950606378838,1.4222222222222223
5,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461716,0.0033672102277461716,0.13408088855246084,0.012111659045334136,0.002777777777777778,0.011280131817925546,0.09666615745264852,0.11025950606378838,1.6
6,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,0.003993770440621111,-0.003993770440621111,0.15772112248852477,0.02364023393606393,0.005555555555555556,0.011280131817925544,0.096115353136679,0.11025950606378838,1.9555555555555555
7,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,0.003993770440621112,-0.003993770440621112,0.17944175218023758,0.021720629691712817,0.005555555555555556,0.011280131817925544,0.09556454882070949,0.11025950606378838,2.311111111111111
8,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461716,0.0033672102277461716,0.19095429445354253,0.011512542273304949,0.002777777777777778,0.011280131817925544,0.09528914666272474,0.1102595060637884,2.488888888888889
9,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461707,0.0033672102277461707,0.20199367797058296,0.011039383517040424,0.002777777777777778,0.011280131817925546,0.09501374450474,0.11025950606378838,2.6666666666666665
10,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.0,0.0,-0.0,0.20199367797058296,0.0,0.0,0.011280131817925546,0.09501374450474,0.11025950606378838,2.6666666666666665
11,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.08585035233692276,0.002623445433185498,-0.002623445433185498,0.2425365173170969,0.040542839346513954,0.011111111111111112,0.011280131817925546,0.09391213587280098,0.11025950606378837,3.3777777777777778
12,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,0.0019968852203105553,-0.0019968852203105553,0.25194869223247157,0.00941217491537466,0.002777777777777778,0.011280131817925547,0.09363673371481623,0.11025950606378838,3.5555555555555554
13,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,-0.001370325007435616,0.001370325007435616,0.2713571550160237,0.019408462783552127,0.005555555555555556,0.011280131817925546,0.09308592939884672,0.11025950606378838,3.911111111111111
14,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.0,0.0,-0.0,0.2713571550160237,0.0,0.0,0.011280131817925546,0.09308592939884672,0.11025950606378838,3.911111111111111
15,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461707,0.0033672102277461707,0.28127586448991265,0.009918709473888954,0.002777777777777778,0.011280131817925547,0.09281052724086199,0.11025950606378838,4.088888888888889
16,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.0,0.0,-0.0,0.28127586448991265,0.0,0.0,0.011280131817925547,0.09281052724086199,0.11025950606378838,4.088888888888889
17,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.0,0.0,-0.0,0.28127586448991265,0.0,0.0,0.011280131817925547,0.09281052724086199,0.11025950606378838,4.088888888888889
18,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,0.001996885220310556,-0.001996885220310556,0.2902095778607337,0.00893371337082105,0.002777777777777778,0.011280131817925546,0.09253512508287721,0.1102595060637884,4.266666666666667
19,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,0.001996885220310556,-0.001996885220310556,0.2989364422616221,0.008726864400888379,0.002777777777777778,0.011280131817925546,0.09225972292489246,0.1102595060637884,4.444444444444445
20,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.0,0.0,-0.0,0.2989364422616221,0.0,0.0,0.011280131817925546,0.09225972292489246,0.1102595060637884,4.444444444444445
21,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,-0.0013703250074356141,0.0013703250074356141,0.3170770405609681,0.018140598299346,0.005555555555555556,0.011280131817925546,0.09170891860892295,0.11025950606378838,4.8
22,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,-0.0013703250074356156,0.0013703250074356156,0.3347576734050983,0.01768063284413024,0.005555555555555556,0.011280131817925547,0.09115811429295345,0.11025950606378838,5.155555555555556
23,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,0.001996885220310556,-0.001996885220310556,0.3429202886402619,0.008162615235163595,0.002777777777777778,0.011280131817925547,0.09088271213496871,0.11025950606378838,5.333333333333333
24,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.02146258808423069,-0.0033672102277461716,0.0033672102277461716,0.35200949453087926,0.009089205890617347,0.002777777777777778,0.011280131817925544,0.09060730997698392,0.11025950606378838,5.511111111111111
25,oscillating,0.03,2.0,64,0.12863676629912946,0.0038591029889738834,360,0.04292517616846138,-0.0013703250074356152,0.0013703250074356152,0.3688592561663251,0.016849761635445826,0.005555555555555556,0.011280131817925546,0.09005650566101443,0.11025950606378837,5.866666666666666
