n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.053651826520895174,0.001210959049649256,-0.001210959049649256,0.04819427877977725,0.04819427877977836,0.008333333333333333,-0.0014052560108158852,-0.014537896462769623,0.0018865742974688506,0.5333333333333333
1,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.03576788434726345,0.0008073060330995055,-0.0008073060330995055,0.07319012915586712,0.024995850376089868,0.005555555555555556,-0.0014052560108158854,-0.01445645166465887,0.0018865742974688506,0.8888888888888888
2,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.0,0.0,-0.0,0.07319012915586712,0.0,0.0,-0.0014052560108158854,-0.01445645166465887,0.0018865742974688506,0.8888888888888888
3,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.03576788434726345,0.0008073060330995027,-0.0008073060330995027,0.09586904494781753,0.022678915791950416,0.005555555555555556,-0.0014052560108158852,-0.014375006866548112,0.0018865742974688506,1.2444444444444445
4,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.017883942173631723,0.0004036530165497521,-0.0004036530165497521,0.10656595882801778,0.010696913880200248,0.002777777777777778,-0.0014052560108158852,-0.014334284467492736,0.0018865742974688504,1.4222222222222223
5,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.0,0.0,-0.0,0.10656595882801778,0.0,0.0,-0.0014052560108158852,-0.014334284467492736,0.0018865742974688504,1.4222222222222223
6,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.017883942173631723,0.0004036530165497521,-0.0004036530165497521,0.11690684913752895,0.010340890309511172,0.002777777777777778,-0.001405256010815885,-0.014293562068437357,0.0018865742974688506,1.6
7,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.0,0.0,-0.0,0.11690684913752895,0.0,0.0,-0.001405256010815885,-0.014293562068437357,0.0018865742974688506,1.6
8,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.03576788434726345,0.0008073060330995045,-0.0008073060330995045,0.13666806242396154,0.019761213286432586,0.005555555555555556,-0.0014052560108158848,-0.014212117270326601,0.0018865742974688506,1.9555555555555555
9,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.053651826520895174,0.0012109590496492554,-0.0012109590496492554,0.1643967570485252,0.02772869462456365,0.008333333333333333,-0.0014052560108158846,-0.01408995007316047,0.0018865742974688504,2.488888888888889
10,gaussian,0.03,2.0,64,0.1663802973874779,0.004991408921624337,360,0.0,0.0,-0.0,0.1643967570485252,0.0,0.0,-0.0014052560108158846,-0.01408995007316047,0.0018865742974688504,2.488888888888889
