angle_deg,state,tr_F_rho_real
0.0,ket_0,0.23826681991278986
0.0,ket_1,0.23826681991278986
0.0,ket_plus,0.2382668199127898
0.0,ket_minus,0.2382668199127898
0.0,ket_plus_i,0.110755987287083
0.0,ket_minus_i,0.3657776525384966
15.0,ket_0,0.23826681991278986
15.0,ket_1,0.23826681991278986
15.0,ket_plus,0.34944660498843877
15.0,ket_minus,0.12708703483714084
15.0,ket_plus_i,0.09611889090064393
15.0,ket_minus_i,0.38041474892493565
30.0,ket_0,0.23826681991278986
30.0,ket_1,0.23826681991278986
30.0,ket_plus,0.45304967144446434
30.0,ket_minus,0.0234839683811153
30.0,ket_plus_i,0.053205095671117114
30.0,ket_minus_i,0.4233285441544625
45.0,ket_0,0.23826681991278986
45.0,ket_1,0.23826681991278986
45.0,ket_plus,0.5420156415140508
45.0,ket_minus,-0.06548200168847118
45.0,ket_plus_i,-0.015060894175005057
45.0,ket_minus_i,0.49159453400058467
60.0,ket_0,0.23826681991278986
60.0,ket_1,0.23826681991278986
60.0,ket_plus,0.610281631360173
60.0,ket_minus,-0.13374799153459338
60.0,ket_plus_i,-0.10402686424459151
60.0,ket_minus_i,0.5805605040701711
75.0,ket_0,0.23826681991278986
75.0,ket_1,0.23826681991278986
75.0,ket_plus,0.6531954265896999
75.0,ket_minus,-0.1766617867641202
75.0,ket_plus_i,-0.20762993070061708
75.0,ket_minus_i,0.6841635705261967
90.0,ket_0,0.23826681991278986
90.0,ket_1,0.23826681991278986
90.0,ket_plus,0.6678325229761389
90.0,ket_minus,-0.19129888315055926
90.0,ket_plus_i,-0.3188097157762661
90.0,ket_minus_i,0.7953433556018457
