boot_id,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
0,1.9557259129241031,0.6316753402829556,-4.2499946890433815,-1.565978360505097
1,2.8534356408582466,7.549401097276881,-10.950382094245104,6.546486804743982
2,2.436680393234423,5.016916689872562,-7.95192909728752,14.037993183901834
3,1.3335592258492954,1.1823233008483065,-3.3895787124895826,10.662896180702315
4,1.4739567263322828,-0.9939140953703964,-2.4277005510033947,21.08416278162243
5,2.7697420084894313,6.283757016498829,-9.391361371877817,6.347142397041171
6,2.5417433426085276,7.356130404654005,-10.03899617069272,-1.1110185503249588
7,1.5730794963744947,4.252927826666109,-6.305807641464882,26.050509226650604
8,2.0196042558995546,1.800372257257765,-5.324276983650971,7.9651970326675166
9,2.5039507382602424,9.09392149153604,-10.890803119050672,16.405067754065207
10,2.280230888035318,5.79516956983335,-8.49329021586529,17.368363955338193
11,1.9862019902885648,5.3955342070397725,-7.600313744643822,27.75072739614866
12,3.187207634882959,9.253609695811472,-12.308608854273908,6.570513240059167
13,2.3646650436020242,8.795774036442996,-10.880800400286518,23.09370977492479
14,2.8520169200782046,11.474743019015039,-13.602750356480705,17.96547413310246
15,1.8682161314501817,1.3858012065929475,-4.76889611125683,-6.231404600065027
16,1.7073804245646285,4.816288784154662,-7.076644552798624,22.96715950609895
17,1.7574308545038502,4.683715324140605,-6.755194287977857,8.593948340080848
18,1.5888899472917435,1.4742721179102152,-3.9531888536071635,13.928322275064746
19,1.6819364260619085,3.5092749139669657,-5.911114683682795,24.856432177661993
20,2.1444124058970258,5.592232375933021,-8.015430478753865,4.642404012342203
21,2.5200410743056065,6.612157684950682,-9.143554118902165,13.01331238908532
22,2.1277766598566354,5.586385529388597,-8.00321312440718,23.49594977078953
23,3.196917940381663,8.775687857226114,-12.068248442798263,3.301974532722229
24,2.943066164320855,7.713232173137105,-11.011853370069215,15.350284434177912
25,3.0818662293670744,9.821402384758112,-12.925264679748784,18.89721140152168
26,2.539547819502247,8.858222013891597,-11.294303877816777,18.87829446378145
27,0.81219735373957,-0.6477162455645072,-1.1234703693577759,13.173780701808912
28,2.1852950776430182,6.175800414948874,-8.930256209826767,11.664226681778183
29,1.087525755908133,0.1779302292153763,-2.2007725853151308,22.608613260646507
30,1.999552546831169,4.814231037971098,-6.9548350800933925,29.980786306724593
31,2.1104037101108215,5.992636747706122,-8.17742198595251,9.484256855883325
32,2.92196669671505,7.175894026033394,-10.674386823400196,-2.7221359231651707
33,1.981444671870633,2.689849323986105,-5.600900556736038,11.263288014936855
34,3.0087394220229196,10.74813079059564,-13.465698369682542,24.15820106055365
35,2.637919774198458,7.231633752385526,-9.944271895558153,6.579519549535348
36,3.3059952925080336,9.311312202397113,-12.567982198695592,13.100360486275141
37,3.6863772749338284,10.038670904193138,-13.63856271339735,7.823870173839702
38,2.633503744858648,7.892413821949653,-10.235509619177392,17.316312583985656
39,3.2620540701065988,8.558967303380053,-11.675082320414562,16.994720640266888
40,3.3730879645874774,11.828367317520497,-15.019471513233398,3.2269457971346003
41,1.5862790345618647,2.587450262213312,-4.857384353170846,13.300890381695547
42,2.2079575458394087,5.934863698164023,-8.521725136670959,20.2490095894769
43,2.1997291748319285,5.580451385961332,-7.86044499924109,22.85743154068611
44,2.1577257044014817,4.832456629986537,-7.375099736160193,4.7076155775970285
45,3.5577439495856553,12.186617637681298,-15.224281526819052,16.11281102729819
46,2.6423387954824498,7.411132555597898,-9.968688935792619,9.98466719341734
47,1.9653277547896075,4.684014683887264,-6.800961785321524,28.894094280885266
48,2.058315500729189,6.289089063334327,-8.258513541733754,27.495003335910777
49,3.284093183321719,10.68984883796738,-13.61426309212738,-1.9852874167317225
50,2.48681358544406,9.44737298866386,-10.898046207566702,27.627174857945953
51,1.4717028775347991,3.921226670825919,-5.604830452505444,33.39926207322214
52,1.7771506771073218,4.796054488204784,-7.026818196295273,24.125522860327465
53,1.5895089727886393,4.779655337724553,-6.476575750099943,21.343055482778855
54,1.8349984159474677,3.3698160512135273,-5.820025304509957,9.019137541696958
55,0.895555441438056,-0.04418171982330601,-1.492752152925059,33.95734650017607
56,3.0989091147678285,8.63146473335645,-11.435978926363958,14.589378758510266
57,2.4788449067656613,8.489105167246285,-10.8108143600703,19.032500795944955
58,2.0919365183435747,4.8894017898217825,-7.1483847278700425,24.495378527807883
59,3.106586105656172,9.554788543813544,-12.628296135670697,15.610424256030178
60,2.493252866566893,4.757724408652753,-7.808433564872449,16.55967239011561
61,3.739033423404951,13.74529154722469,-16.609968824827753,2.232547903341303
62,2.6051504571741355,7.066879690584059,-9.993148862896748,12.09345451922451
63,1.3802302277847773,-0.050860053189207555,-2.7701304010321146,11.618402138763283
64,2.4599743681264643,8.958383046940138,-11.023473961857551,11.60853837483651
65,2.4466144537819985,5.625028069143577,-8.638581360305155,-0.9999597990444998
66,2.0229291256162623,4.866427720678199,-7.254286580461975,19.219124546030788
67,1.934630811218062,4.783790135574615,-7.15995540721701,5.789176296465036
68,2.8506483695805533,12.256661524968289,-13.852195914298221,22.315234640897575
69,2.6477973193096696,8.860054242484525,-11.3838265903887,12.762067386311584
70,2.406110249471332,5.8938954628854505,-8.650717381826095,17.00371406020877
71,2.743091305422102,8.205768013354414,-11.041487371937526,15.131032836548053
72,2.301844392203992,6.642224724951433,-9.261754323367917,9.270215072149293
73,4.5353417693778635,13.796675452102559,-17.64147555132065,2.9174726352969773
74,2.5033695880942006,5.537558891563284,-8.496668311730865,21.950757720824733
75,3.3648054012705,15.079719611105325,-17.180932213661304,6.410482479465466
76,1.1266769294210721,0.34763560336580385,-2.0815298892719416,25.122892867089476
77,2.9212100792300055,7.526441750607012,-10.510218649289595,15.025941652875234
78,3.106868386779815,6.184542722014824,-10.245636555515839,11.74791729553812
79,2.3177431869589937,6.545961193214697,-9.18004723424602,12.196189582744331
