perm_id,stat_perm_median_test_r2
0,-0.36219100404393767
1,-0.11845286443771053
2,-0.27509078630608863
3,-0.04784963052220659
4,-0.023287250554198113
5,-0.09538885866246627
6,-0.28559704174664324
7,-0.2096216877985857
8,-0.2672646666208377
9,-0.20741350864260188
10,-0.177648198056921
11,-0.13673796686068795
12,-0.13865369398766347
13,-0.0353843499733264
14,-0.06124314412109311
15,-0.20040401286932596
16,-0.07277381126549587
17,-0.34591805767668293
18,-0.4697026269855531
19,0.05041674303077792
20,-0.29875189791418055
21,-0.1251975016625202
22,-0.12344526496201502
23,-0.2182230973143262
24,-0.26227408968682187
25,-0.003821790432211869
26,-0.0928831177086007
27,-0.14584326619474086
28,-0.11100911943338632
29,-0.36693710775525634
30,0.058391665584912156
31,-0.44235297421886266
32,-0.17916132457251221
33,-0.24822283524977673
34,-0.10915903312495889
35,-0.08932077611809086
36,-0.25029295885613423
37,0.06217115038599241
38,-0.18479821403080332
39,-0.06485735719214236
40,0.11327755084613972
41,-0.2032037407472238
42,-0.14652306583584285
43,-0.09878606622732233
44,-0.28558441720881556
45,0.09732507880733893
46,-0.16090618959021252
47,-0.2453361243153741
48,-0.07839226388072407
49,-0.16403830331598124
50,-0.2778599845822983
51,-0.3098464394900323
52,-0.18096152713809444
53,-0.20452639823307273
54,-0.16245241141224676
55,-0.18239984131051445
56,-0.1917742163068531
57,-0.09816545594190151
58,-0.1382967080663695
59,-0.20373613102426202
60,-0.2425632508565556
61,-0.0433683014017997
62,-0.1011338053586549
63,-0.20709705245873777
64,-0.4299422398661352
65,-0.21411065501294357
66,-0.36930043204770424
67,-0.2044603953882178
68,-0.248368736227637
69,-0.2929338998278499
70,-0.15397247891124533
71,-0.026080917770149092
72,-0.12840719540998102
73,-0.17315573223416347
74,-0.10065871658898129
75,-0.1437784349396437
76,-0.30637781135141895
77,-0.38014542103756255
78,-0.07309122483804498
79,-0.1439781392744347
80,-0.22824853394585587
81,-0.0684373284860117
82,-0.24876511081768482
83,-0.2852213465836613
84,-0.308164714326567
85,-0.11355008672698852
86,-0.12252537606627179
87,-0.14587968802610107
88,-0.12770784921825462
89,-0.17284342706512446
90,-0.18762044578890036
91,-0.40356881319615623
92,-0.23280476619409762
93,-0.19120003980514122
94,-0.3092266061942949
95,-0.31825235919501216
96,-0.022529184923888668
97,-0.13148966018170305
98,-0.37795192754979534
99,-0.23731071805794612
100,-0.13242806923135153
101,-0.21338354484006394
102,-0.19732464664150673
103,-0.04315727874396835
104,-0.25776745876623297
105,-0.21003085963063017
106,-0.14879291596204247
107,-0.4822349256108135
108,-0.2765657442896584
109,-0.009824474810442907
110,-0.10296907014707113
111,-0.32369093895649437
112,-0.05169191426225517
113,0.08771561128067545
114,-0.32141398874674
115,-0.06593095991513376
116,-0.270439194990313
117,-0.09098479151802252
118,-0.2613481848423129
119,-0.009785846063246395
120,-0.13253945971607983
121,-0.251306720729107
122,-0.0025936988181185505
123,-0.1719243020150245
124,-0.28711322934507477
125,-0.2345623678238956
126,-0.34719669144656085
127,-0.03704626315015985
128,-0.27747101810130126
129,-0.13596241138480358
130,-0.19241403959372994
131,0.04770119739240525
132,-0.20756884584567092
133,-0.05814023758430631
134,-0.1172765506464235
135,-0.12774878981387572
136,-0.1561293001661075
137,-0.19436010686094118
138,-0.17249696464848596
139,-0.2444638645572178
