n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304521,0.0015782354491304521,0.044669611394162465,0.04466961139416402,0.006666666666666667,0.011867700108887411,0.10370382288839436,0.1104446555407804,0.4266666666666667
1,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304525,0.0015782354491304525,0.08005251731565866,0.03538290592149619,0.006666666666666667,0.011867700108887413,0.10300782407706288,0.11044465554078041,0.8533333333333334
2,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.08005251731565866,0.0,0.0,0.011867700108887413,0.10300782407706288,0.11044465554078041,0.8533333333333334
3,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.08005251731565866,0.0,0.0,0.011867700108887413,0.10300782407706288,0.11044465554078041,0.8533333333333334
4,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.001578235449130452,0.001578235449130452,0.11190205689092729,0.031849539575268634,0.006666666666666667,0.011867700108887413,0.10231182526573138,0.11044465554078042,1.28
5,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.07719370327625331,-0.002212401742200618,0.002212401742200618,0.15383759322860774,0.04193553633768045,0.01,0.01186770010888741,0.10126782704873408,0.11044465554078042,1.92
6,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002063,0.0007374672474002063,0.16650688941039032,0.012669296181782586,0.0033333333333333335,0.011867700108887411,0.10091982764306834,0.11044465554078041,2.1333333333333333
7,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0014749344948004127,0.0014749344948004127,0.1904375535189219,0.023930664108531563,0.006666666666666667,0.011867700108887411,0.10022382883173682,0.11044465554078042,2.56
8,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304512,0.0015782354491304512,0.21650018709320495,0.026062633574283067,0.006666666666666667,0.01186770010888741,0.09952783002040531,0.11044465554078044,2.986666666666667
9,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.21650018709320495,0.0,0.0,0.01186770010888741,0.09952783002040531,0.11044465554078044,2.986666666666667
10,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002055,0.0007374672474002055,0.2275110019167742,0.011010814823569248,0.0033333333333333335,0.01186770010888741,0.09917983061473955,0.11044465554078041,3.2
11,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.2275110019167742,0.0,0.0,0.01186770010888741,0.09917983061473955,0.11044465554078041,3.2
12,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.2275110019167742,0.0,0.0,0.01186770010888741,0.09917983061473955,0.11044465554078041,3.2
13,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.2275110019167742,0.0,0.0,0.01186770010888741,0.09917983061473955,0.11044465554078041,3.2
14,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302464,0.0008407682017302464,0.2413400706537474,0.013829068736973205,0.0033333333333333335,0.01186770010888741,0.09883183120907381,0.11044465554078042,3.4133333333333336
15,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.2413400706537474,0.0,0.0,0.01186770010888741,0.09883183120907381,0.11044465554078042,3.4133333333333336
16,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.001578235449130452,0.001578235449130452,0.2651583725982897,0.02381830194454232,0.006666666666666667,0.01186770010888741,0.09813583239774229,0.11044465554078041,3.84
17,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.2651583725982897,0.0,0.0,0.01186770010888741,0.09813583239774229,0.11044465554078041,3.84
18,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302463,0.0008407682017302463,0.27772276491077863,0.012564392312488903,0.0033333333333333335,0.011867700108887411,0.09778783299207655,0.11044465554078041,4.053333333333334
19,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0016815364034604928,0.0016815364034604928,0.3014425142507211,0.023719749339942475,0.006666666666666667,0.01186770010888741,0.09709183418074505,0.11044465554078041,4.48
20,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.07719370327625331,-0.0023157026965306584,0.0023157026965306584,0.33310483304790617,0.03166231879718506,0.01,0.01186770010888741,0.09604783596374779,0.11044465554078042,5.12
21,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002061,0.0007374672474002061,0.3429202886402621,0.009815455592355915,0.0033333333333333335,0.01186770010888741,0.09569983655808202,0.11044465554078044,5.333333333333333
22,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002061,0.0007374672474002061,0.35250123586917026,0.009580947228908177,0.0033333333333333335,0.01186770010888741,0.09535183715241628,0.11044465554078041,5.546666666666667
23,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.07719370327625331,-0.0022124017422006184,0.0022124017422006184,0.3799678346811918,0.027466598812021514,0.01,0.01186770010888741,0.09430783893541901,0.11044465554078041,6.1866666666666665
24,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0016815364034604926,0.0016815364034604926,0.40131386960782073,0.021346034926628954,0.006666666666666667,0.011867700108887408,0.09361184012408749,0.11044465554078042,6.613333333333333
25,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304525,0.0015782354491304525,0.4202678782863762,0.018954008678555456,0.006666666666666667,0.01186770010888741,0.09291584131275601,0.11044465554078041,7.04
26,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.4202678782863762,0.0,0.0,0.01186770010888741,0.09291584131275601,0.11044465554078041,7.04
27,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302464,0.0008407682017302464,0.43021092058411303,0.009943042297736848,0.0033333333333333335,0.01186770010888741,0.09256784190709026,0.11044465554078042,7.253333333333333
28,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0014749344948004116,0.0014749344948004116,0.4471148085924507,0.016903888008337642,0.006666666666666667,0.011867700108887411,0.09187184309575876,0.11044465554078044,7.68
29,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302466,0.0008407682017302466,0.45678181647897037,0.009667007886519696,0.0033333333333333335,0.011867700108887411,0.09152384369009302,0.11044465554078041,7.8933333333333335
30,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.001474934494800411,0.001474934494800411,0.4730029038025084,0.016221087323538053,0.006666666666666667,0.01186770010888741,0.09082784487876149,0.11044465554078041,8.32
31,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.000737467247400206,0.000737467247400206,0.4808828989819463,0.007879995179437882,0.0033333333333333335,0.01186770010888741,0.09047984547309575,0.11044465554078041,8.533333333333333
32,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0014749344948004118,0.0014749344948004118,0.4962094036281065,0.0153265046461602,0.006666666666666667,0.01186770010888741,0.08978384666176423,0.11044465554078042,8.96
33,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.1029249377016711,-0.0031564708982609047,0.0031564708982609047,0.5294521088519587,0.0332427052238522,0.013333333333333334,0.01186770010888741,0.08839184903910122,0.1104446555407804,9.813333333333333
34,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.5294521088519587,0.0,0.0,0.01186770010888741,0.08839184903910122,0.1104446555407804,9.813333333333333
35,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002061,0.0007374672474002061,0.536622178166588,0.007170069314629268,0.0033333333333333335,0.01186770010888741,0.08804384963343548,0.11044465554078041,10.026666666666667
36,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304521,0.0015782354491304521,0.5525525323120369,0.015930354145448966,0.006666666666666667,0.01186770010888741,0.08734785082210396,0.11044465554078042,10.453333333333333
37,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304525,0.0015782354491304525,0.5681369389446451,0.015584406632608183,0.006666666666666667,0.011867700108887408,0.08665185201077244,0.11044465554078041,10.88
38,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002059,0.0007374672474002059,0.5749177440512918,0.006780805106646692,0.0033333333333333335,0.01186770010888741,0.0863038526051067,0.1104446555407804,11.093333333333334
39,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.5749177440512918,0.0,0.0,0.01186770010888741,0.0863038526051067,0.1104446555407804,11.093333333333334
40,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.5749177440512918,0.0,0.0,0.01186770010888741,0.0863038526051067,0.1104446555407804,11.093333333333334
41,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304521,0.0015782354491304521,0.5900409374982294,0.015123193446937577,0.006666666666666667,0.01186770010888741,0.0856078537937752,0.1104446555407804,11.52
42,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.5900409374982294,0.0,0.0,0.01186770010888741,0.0856078537937752,0.1104446555407804,11.52
43,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302458,0.0008407682017302458,0.5983175059475329,0.008276568449303467,0.0033333333333333335,0.01186770010888741,0.08525985438810944,0.11044465554078041,11.733333333333333
44,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.5983175059475329,0.0,0.0,0.01186770010888741,0.08525985438810944,0.11044465554078041,11.733333333333333
45,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0014749344948004122,0.0014749344948004122,0.6112638622949809,0.012946356347448007,0.006666666666666667,0.01186770010888741,0.08456385557677794,0.1104446555407804,12.16
46,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.001474934494800412,0.001474934494800412,0.6237847872127232,0.012520924917742371,0.006666666666666667,0.011867700108887408,0.08386785676544642,0.1104446555407804,12.586666666666666
47,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.6237847872127232,0.0,0.0,0.011867700108887408,0.08386785676544642,0.1104446555407804,12.586666666666666
48,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.6237847872127232,0.0,0.0,0.011867700108887408,0.08386785676544642,0.1104446555407804,12.586666666666666
49,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002059,0.0007374672474002059,0.6298917513451112,0.006106964132387982,0.0033333333333333335,0.01186770010888741,0.08351985735978068,0.1104446555407804,12.8
50,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.6298917513451112,0.0,0.0,0.01186770010888741,0.08351985735978068,0.1104446555407804,12.8
51,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0007374672474002066,0.0007374672474002066,0.6358993470949299,0.006007595749818684,0.0033333333333333335,0.01186770010888741,0.08317185795411493,0.1104446555407804,13.013333333333334
52,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.0,0.0,-0.0,0.6358993470949299,0.0,0.0,0.01186770010888741,0.08317185795411493,0.1104446555407804,13.013333333333334
53,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.05146246885083555,-0.0015782354491304525,0.0015782354491304525,0.6498170007969123,0.013917653701982391,0.006666666666666667,0.01186770010888741,0.08247585914278342,0.1104446555407804,13.44
54,constant,0.03,2.0,64,0.1288465724328516,0.003865397172985548,300,0.025731234425417776,-0.0008407682017302466,0.0008407682017302466,0.657658715698561,0.007841714901648755,0.0033333333333333335,0.011867700108887411,0.08212785973711767,0.1104446555407804,13.653333333333334
