n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.02144677470874207,4.16793260715483e-05,-4.16793260715483e-05,0.022340379843492585,0.022340379843484023,0.0033333333333333335,-0.029760671319806614,-0.3096269030864009,0.0025492788601121277,0.21333333333333335
1,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.08578709883496828,0.00016671730428618876,-0.00016671730428618876,0.08476607571482375,0.06242569587133116,0.013333333333333334,-0.029760671319806607,-0.30548473715882357,0.0025492788601121272,1.0666666666666667
2,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.04289354941748414,8.335865214309624e-05,-8.335865214309624e-05,0.11074265637158448,0.025976580656760728,0.006666666666666667,-0.029760671319806614,-0.303413654195035,0.0025492788601121272,1.4933333333333334
3,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.06434032412622621,0.00012503797821464158,-0.00012503797821464158,0.14614474600857585,0.035402089636991374,0.01,-0.029760671319806607,-0.30030702974935203,0.0025492788601121277,2.1333333333333333
4,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.04289354941748414,8.335865214309401e-05,-8.335865214309401e-05,0.16794414773417868,0.021799401725602824,0.006666666666666667,-0.029760671319806607,-0.29823594678556337,0.0025492788601121277,2.56
5,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.02144677470874207,4.167932607154645e-05,-4.167932607154645e-05,0.1783966827561696,0.010452535021990922,0.0033333333333333335,-0.029760671319806614,-0.2972004053036691,0.0025492788601121277,2.7733333333333334
6,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.06434032412622621,0.006706151728956581,-0.006706151728956581,0.2206843524751565,0.0422876697189869,0.01,-0.029760671319806614,-0.29409378085798615,0.0025492788601121277,3.4133333333333336
7,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.02144677470874207,4.167932607154719e-05,-4.167932607154719e-05,0.23037283602663414,0.009688483551477639,0.0033333333333333335,-0.029760671319806607,-0.29305823937609177,0.0025492788601121277,3.6266666666666665
8,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.06434032412622621,0.00012503797821464307,-0.00012503797821464307,0.258164376351031,0.027791540324396874,0.01,-0.029760671319806614,-0.2899516149304089,0.0025492788601121277,4.266666666666667
9,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.02144677470874207,4.167932607154645e-05,-4.167932607154645e-05,0.2670400326587389,0.008875656307707869,0.0033333333333333335,-0.029760671319806614,-0.28891607344851455,0.0025492788601121277,4.48
10,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.0,0.0,-0.0,0.2670400326587389,0.0,0.0,-0.029760671319806614,-0.28891607344851455,0.0025492788601121277,4.48
11,oscillating,0.03,2.0,64,0.16650295666144665,0.004995088699843399,300,0.0,0.0,-0.0,0.2670400326587389,0.0,0.0,-0.029760671319806614,-0.28891607344851455,0.0025492788601121277,4.48
