case_id,profile,alpha1,alpha2,delta_alpha,lambda_matter_w1_mean,lm_w1_times_delta_alpha,lambda_vac_w1_mean,state_spread_phi90,lambda_w_g2_mean,coh_ptr_g2_mean,jump_rate_g2_mean,lambda_eff_raw,clausius_r2,lambda_eff_proxy
0,oscillating,0.39427194002219224,0.5742150752853203,0.1799431352631281,0.4070148946142044,0.07323953623567162,0.17994313526312808,1.2103692116295743,0.029917898780601214,0.004948403442073461,0.002625,2.40403323122696,0.008602573493640353,0.010537816797663623
1,gaussian,0.14352176936575953,0.845620159136972,0.7020983897712124,0.8071137320317093,0.5666732516216969,0.7020983897712123,1.3871509618908635,-0.0008733906883520253,0.05346850125986154,0.004541666666666667,-1.0476890634295566,0.0067639691036534,-0.00484781695270368
2,gaussian,0.340214182202732,0.66509093004256,0.3248767478398281,0.5304750317974167,0.17233900314057415,0.32487674783982806,1.0783056646786813,0.0008697280700188887,0.07634221937737365,0.0030833333333333333,0.6827956209168712,0.0018333349629575668,0.0009541710440116878
3,gaussian,0.14338295825519826,0.8678454552250368,0.7244624969698384,0.7813775390008159,0.5660787229806784,0.7244624969698386,1.4049527515873264,-0.0010793613008857378,0.042985291051380825,0.0043749999999999995,-4.088064161894387,0.12153939064858266,-0.19773212306701063
4,oscillating,0.374529764971129,0.5666159914304068,0.19208622645927775,0.445862245552298,0.08564399626880081,0.19208622645927775,1.193501403701673,0.04522419142719107,0.0033073627201963794,0.002416666666666667,5.768636926223461,0.03121659693788348,0.05969548978222217
5,constant,0.2972705074599749,0.629253801819847,0.33198329435987217,0.556183175288529,0.1846435227998201,0.3319832943598721,1.067828705945709,0.019215090772492095,0.07936748363820563,0.00275,3.8741406766254114,0.07892354699872328,0.1250104643199088
6,constant,0.17241023505701136,0.8538018734389042,0.6813916383818929,0.7293685812602664,0.4969856525692097,0.6813916383818929,1.3451999605075289,-0.03367222391781891,0.0627686191082278,0.003875,-10.265975324392207,0.9571314756241354,-2.3179687087164074
7,gaussian,0.1358829814880442,0.882443905021299,0.7465609235332548,0.7454843796957557,0.5565495069852789,0.7465609235332548,1.4199196639367684,-0.0012889562079978173,0.03231152484971308,0.0035833333333333333,-5.862506785008376,0.12619906628231392,-0.2430685883893079
8,gaussian,0.05150917788858733,0.9464882013071113,0.894979023418524,0.8235225463885878,0.7370354043299944,0.8949790234185239,1.6004525287469256,-0.0012927007223508871,0.037050788166753015,0.003916666666666667,-5.813508642413427,0.1844655679859396,-0.35397230778366406
9,constant,0.241172746965321,0.6936243584353972,0.4524516114700762,0.6283296899451833,0.28428878075019154,0.4524516114700762,1.071570487442431,0.011867700108887408,0.1104446555407804,0.0037500000000000007,32.84920407365121,0.9951668284449967,3.504893464003208
10,gaussian,0.21482861476002768,0.7943188545559456,0.579490239795918,0.6770806817553664,0.3923616466316009,0.579490239795918,1.2215730035339056,-0.0007130051364150417,0.09901835856026386,0.002958333333333333,-0.38973859602865085,0.0015135298100805716,-0.0004981263760657045
11,oscillating,0.18893481480867622,0.8236216279030377,0.6346868130943615,0.757258344154909,0.4806218851407924,0.6346868130943615,1.3015396073948602,-0.03727085875309503,0.08167936084888332,0.0030833333333333333,-0.8633531299875157,0.011530051186477763,-0.007176045847797871
12,constant,0.13937165260523765,0.8648799556440185,0.7255083030387809,0.8010564069041987,0.5811730744114083,0.7255083030387809,1.4110212088491685,-0.024526798012898005,0.04249004543289602,0.0035833333333333333,-11.69668071433856,0.42321051981219804,-1.0755220755959496
13,constant,0.38884089122988813,0.5685062476938549,0.17966535646396686,0.3915140857921681,0.07034151778451399,0.1796653564639668,1.213729967335065,0.02827332870271988,0.005117420787088178,0.002541666666666667,15.419391348981787,1.0,2.7984630356747617
14,constant,0.19197794572103,0.7951257881629472,0.6031478424419172,0.6938342958346262,0.4184846585448617,0.6031478424419172,1.251431444904363,-0.02228577873845622,0.09235589094357334,0.003958333333333333,-16.335683706409046,0.9276991476461963,-2.6465095321147354
15,constant,0.3639964207451811,0.5755980005993825,0.2116015798542014,0.4337948959018034,0.09179168530551043,0.2116015798542014,1.1815602838006585,0.03670679430385482,0.015202706307213248,0.0022083333333333334,10.636392417851047,0.9896030493824374,2.428621918499862
16,gaussian,0.07028967634401333,0.9665393976411695,0.8962497212971562,0.9087314129327981,0.8144502755749913,0.8962497212971561,1.6231957385167806,-0.0010100503431655417,0.0375621139836463,0.004083333333333333,-1.4886811365008799,0.019378248669042586,-0.01766817453911229
17,constant,0.3708497547485291,0.5435835274142126,0.17273377266568346,0.44600895597952045,0.0770408096090253,0.17273377266568346,1.207749269697975,0.02518691310883276,0.009470331384560072,0.0027083333333333334,24.97639859817826,1.0,3.257188379546467
18,gaussian,0.3742001809693814,0.5712846257944195,0.19708444482503815,0.49027018160122826,0.09662462655514871,0.1970844448250381,1.1807728138696327,0.002132537498976187,0.00606877040388247,0.003291666666666667,17.357607980543058,0.6517644340571899,1.8966632409778914
19,oscillating,0.12399236024348222,0.9238731308164444,0.7998807705729621,0.7920651325434404,0.6335576685628225,0.7998807705729623,1.489426863064163,-0.03459349549410919,0.00618804412758866,0.003875,-0.5671126591110728,0.0007836838091622722,-0.0003520580828166357
20,oscillating,0.17062712304514704,0.8588593829145772,0.6882322598694302,0.7824359376564982,0.5384976535763883,0.6882322598694302,1.3659248979255143,-0.0232862905054729,0.05974597652419178,0.003708333333333333,0.8427715779139259,0.0059181897804996275,0.003617616191222001
21,gaussian,0.15533700171062748,0.8694303313975741,0.7140933296869466,0.8116988985598401,0.5796287691758233,0.7140933296869465,1.4013096593467302,-0.002054355822395545,0.04789458638174943,0.004375,-6.807251627440745,0.24384592966478436,-0.5011163087154867
22,gaussian,0.2565543166684489,0.6898984632499887,0.43334414658153975,0.6309322597271373,0.2734108016422187,0.4333441465815398,1.0515001911187032,0.0003421232697760347,0.10823097628179694,0.0033750000000000004,0.6658524659897406,0.005361128712773833,0.002735982258085271
23,gaussian,0.25375189666030296,0.6832536465922688,0.4295017499319659,0.6166656736658656,0.2648589859624639,0.4295017499319659,1.0437557759883418,0.0003766018262575671,0.10765796800410535,0.0038333333333333336,2.2786804938202128,0.04242424255840238,0.05037628725572058
24,constant,0.26933142695858037,0.685574023183667,0.41624259622508664,0.6170396573751535,0.2568381889596718,0.4162425962250866,1.0294694312929609,0.021423817821020125,0.10535518916167988,0.002916666666666667,18.574597360701148,0.9962393423233484,2.9630476016755174
25,oscillating,0.25962319272037226,0.6633144621387334,0.4036912694183611,0.5235718909410743,0.21136140128577396,0.40369126941836103,1.021563783647209,0.016905180020489713,0.10270991376312728,0.0033750000000000004,-0.263871618338223,0.0006870716934059828,-0.00016089825870273448
26,oscillating,0.24152890520051462,0.6695299274062584,0.42800102220574376,0.6273385931865121,0.26850155915294044,0.42800102220574376,1.0448042772657546,0.009633801863651207,0.10742289483394762,0.003208333333333334,0.5369060205275726,0.00437393633741423,0.0018797923843269194
