split_id,n_train,n_test,train_r2,test_r2,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
0,39,15,0.3983101334985487,0.4931710970529748,2.054895348771717,4.508466045769507,-6.726363672926158,16.19729869794251
1,39,15,0.5389967117365774,0.17393256626358,2.666169568320674,6.875710179682402,-9.886010590609166,8.061613446237917
2,39,15,0.4229493889103,0.36050002468008435,2.026096713925727,4.0593293397423045,-6.36295628026492,16.221738844184824
3,39,15,0.3690046762628839,0.5812710555525302,2.0222194194444674,7.05059965459171,-8.62343985182977,19.845551839815645
4,39,15,0.44357111126466586,-0.022946003788626212,2.774592896706879,7.7769255160033275,-10.385953463985123,9.954067541066713
5,39,15,0.4175854702391276,0.3769045384957893,2.309423423169239,5.664861031755855,-8.004119708250583,10.14943449309786
6,39,15,0.34023038600337197,0.5122925997811817,1.8141594367339053,5.94030677517162,-7.449672901701392,15.64070465112148
7,39,15,0.3863627145788747,0.47716646923219463,2.328620533693865,9.518454018141929,-10.950427051246086,16.642777603038134
8,39,15,0.4473100114544768,0.18414079980516052,1.5655956214136222,5.366307658977622,-6.7129589488588906,22.30006499900878
9,39,15,0.46591073394675453,0.1504640713778964,2.750536425038102,10.025347477291517,-12.096585769870384,14.767099496844011
