n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.06379722397140909,-0.0016388428131951136,0.0016388428131951136,0.0687486733791454,0.06874867337914642,0.011111111111111112,0.00029458534620133815,0.002575584711647323,0.1118681903822723,0.5333333333333333
1,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.047847917978556816,-0.003332686330015766,0.003332686330015766,0.10914781365032598,0.04039914027118058,0.008333333333333333,0.00029458534620133815,0.0025538803460997328,0.1118681903822723,0.9333333333333333
2,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.031898611985704546,-0.0008194214065975576,0.0008194214065975576,0.13408088855246128,0.024933074902135297,0.005555555555555556,0.00029458534620133815,0.002539410769068006,0.1118681903822723,1.2
3,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.015949305992852273,0.0016938435168206505,-0.0016938435168206505,0.1461846336902868,0.012103745137825528,0.002777777777777778,0.00029458534620133815,0.002532175980552143,0.1118681903822723,1.3333333333333333
4,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.015949305992852273,0.00169384351682065,-0.00169384351682065,0.15772112248852516,0.011536488798238348,0.002777777777777778,0.0002945853462013382,0.0025249411920362803,0.11186819038227229,1.4666666666666666
5,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.0,0.0,-0.0,0.15772112248852516,0.0,0.0,0.0002945853462013382,0.0025249411920362803,0.11186819038227229,1.4666666666666666
6,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.0,0.0,-0.0,0.15772112248852516,0.0,0.0,0.0002945853462013382,0.0025249411920362803,0.11186819038227229,1.4666666666666666
7,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.06379722397140909,0.0025682656270437443,-0.0025682656270437443,0.2012473595412267,0.04352623705270153,0.011111111111111112,0.00029458534620133815,0.002496002037972827,0.11186819038227229,2.0
8,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.031898611985704546,0.003387687033641302,-0.003387687033641302,0.22091250868885323,0.019665149147626543,0.005555555555555556,0.00029458534620133815,0.0024815324609411002,0.1118681903822723,2.2666666666666666
9,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.06379722397140909,0.0025682656270437447,-0.0025682656270437447,0.25948678128355984,0.03857427259470661,0.011111111111111112,0.00029458534620133815,0.002452593306877647,0.11186819038227229,2.8
10,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.0,0.0,-0.0,0.25948678128355984,0.0,0.0,0.00029458534620133815,0.002452593306877647,0.11186819038227229,2.8
11,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.031898611985704546,-0.0008194214065975576,0.0008194214065975576,0.2788144956759367,0.01932771439237685,0.005555555555555556,0.00029458534620133815,0.0024381237298459206,0.11186819038227229,3.066666666666667
12,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.031898611985704546,-0.005026529846836416,0.005026529846836416,0.2989364422616223,0.020121946585685613,0.005555555555555556,0.00029458534620133815,0.002423654152814194,0.1118681903822723,3.3333333333333335
13,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.047847917978556816,-0.003332686330015766,0.003332686330015766,0.3264231730235785,0.02748673076195618,0.008333333333333333,0.00029458534620133815,0.0024019497872666043,0.11186819038227229,3.7333333333333334
14,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.0,0.0,-0.0,0.3264231730235785,0.0,0.0,0.00029458534620133815,0.0024019497872666043,0.11186819038227229,3.7333333333333334
15,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.015949305992852273,0.001693843516820651,-0.001693843516820651,0.3347576734050986,0.008334500381520116,0.002777777777777778,0.00029458534620133815,0.0023947149987507406,0.11186819038227232,3.8666666666666667
16,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.015949305992852273,-0.0025132649234182076,0.0025132649234182076,0.3438552968170161,0.0090976234119175,0.002777777777777778,0.00029458534620133815,0.0023874802102348772,0.1118681903822723,4.0
17,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.0,0.0,-0.0,0.3438552968170161,0.0,0.0,0.00029458534620133815,0.0023874802102348772,0.1118681903822723,4.0
18,gaussian,0.03,2.0,48,0.13071288447551493,0.003921386534265448,360,0.047847917978556816,0.0008744221102230946,-0.0008744221102230946,0.3688592561663252,0.0250039593493091,0.008333333333333333,0.00029458534620133815,0.0023657758446872876,0.1118681903822723,4.4
