sample_id,max_abs_continuity_residual,mean_abs_continuity_residual,max_total_charge_drift
0,3.838075690598686e-17,9.978725745013461e-18,4.440892098500626e-16
1,6.114900252818245e-17,1.189999411040724e-17,2.220446049250313e-16
2,5.817083468563633e-17,1.4283573058412416e-17,4.440892098500626e-16
3,5.946848916082992e-17,1.4403174110564724e-17,4.440892098500626e-16
4,5.984795992119984e-17,1.2469059078804255e-17,4.440892098500626e-16
5,8.749511531958021e-17,1.769689701900254e-17,4.440892098500626e-16
6,6.158268339717665e-17,1.7526719276639282e-17,6.661338147750939e-16
7,3.615814245239157e-17,9.59381191563144e-18,6.661338147750939e-16
8,5.903480829183572e-17,1.588239009800227e-17,6.661338147750939e-16
9,4.472333961502706e-17,8.852006047879738e-18,6.661338147750939e-16
10,6.071532165918825e-17,1.3545045031701392e-17,1.3322676295501878e-15
11,1.1549802455580738e-16,1.1823150575571541e-17,4.440892098500626e-16
