sample_id,step,t,site,dq_dt,div_j,src_matter,src_gauge,residual,abs_residual
0,0,0.0,0,0.0075367543307546594,0.007536754330754646,-1.3010426069826053e-18,-1.0842021724855044e-18,1.6263032587282567e-17,1.6263032587282567e-17
0,0,0.0,1,-0.0516948596954176,-0.051694859695417615,-1.0842021724855044e-18,-1.4094628242311558e-18,1.6371452804531117e-17,1.6371452804531117e-17
0,0,0.0,2,0.04415810536466297,0.04415810536466297,-2.710505431213761e-19,-5.421010862427522e-19,8.131516293641283e-19,8.131516293641283e-19
0,1,0.02,0,0.005247640993112319,0.0052476409931123125,-6.505213034913027e-19,-8.673617379884035e-19,8.456776945386935e-18,8.456776945386935e-18
0,1,0.02,1,-0.050622566651335216,-0.05062256665133519,0.0,-1.5178830414797062e-18,-2.6237692574149207e-17,2.6237692574149207e-17
0,1,0.02,2,0.045374925658222875,0.045374925658222875,-6.505213034913027e-19,-1.1926223897340549e-18,1.8431436932253575e-18,1.8431436932253575e-18
0,2,0.04,0,0.0029121530950264284,0.002912153095026425,-2.168404344971009e-19,-1.6263032587282567e-18,5.312590645178972e-18,5.312590645178972e-18
0,2,0.04,1,-0.049446867592546934,-0.04944686759254694,0.0,-1.8431436932253575e-18,8.782037597132586e-18,8.782037597132586e-18
0,2,0.04,2,0.046534714497520516,0.046534714497520516,-1.0842021724855044e-18,-6.505213034913027e-19,1.734723475976807e-18,1.734723475976807e-18
0,3,0.06,0,0.000531717891636755,0.0005317178916367585,-2.6020852139652106e-18,-1.1926223897340549e-18,3.2526065174565133e-19,3.2526065174565133e-19
0,3,0.06,1,-0.048169091640275045,-0.048169091640275045,-3.577867169202165e-18,-1.6263032587282567e-18,5.204170427930421e-18,5.204170427930421e-18
0,3,0.06,2,0.0476373737486383,0.04763737374863829,-3.2526065174565133e-19,-1.951563910473908e-18,1.6154612370034016e-17,1.6154612370034016e-17
0,4,0.08,0,-0.0018921354736517806,-0.0018921354736517737,-2.168404344971009e-18,-1.5178830414797062e-18,-3.2526065174565133e-18,3.2526065174565133e-18
0,4,0.08,1,-0.04679078327013618,-0.046790783270136166,-3.3610267347050637e-18,-1.4094628242311558e-18,-9.107298248878237e-18,9.107298248878237e-18
0,4,0.08,2,0.04868291874378794,0.04868291874378794,5.421010862427522e-19,-1.5178830414797062e-18,9.75781955236954e-19,9.75781955236954e-19
0,5,0.1,0,-0.004357776960997595,-0.004357776960997595,-2.168404344971009e-19,-2.8189256484623115e-18,3.0357660829594124e-18,3.0357660829594124e-18
0,5,0.1,1,-0.045313700360547327,-0.04531370036054734,-4.336808689942018e-19,-1.734723475976807e-18,1.6046192152785466e-17,1.6046192152785466e-17
0,5,0.1,2,0.049671477321544935,0.049671477321544935,-2.168404344971009e-19,-5.421010862427522e-19,7.589415207398531e-19,7.589415207398531e-19
0,6,0.12,0,-0.006863476812310358,-0.006863476812310337,-2.8189256484623115e-18,-6.505213034913027e-19,-1.734723475976807e-17,1.734723475976807e-17
0,6,0.12,1,-0.04373981181435281,-0.043739811814352825,-2.0599841277224584e-18,-4.87890977618477e-19,1.6425662913155392e-17,1.6425662913155392e-17
0,6,0.12,2,0.050603288626663134,0.05060328862666316,-1.6263032587282567e-18,-4.336808689942018e-19,-2.5695591487906455e-17,2.5695591487906455e-17
0,7,0.14,0,-0.009407406916454874,-0.009407406916454884,-1.5178830414797062e-18,-1.734723475976807e-18,1.3660947373317356e-17,1.3660947373317356e-17
0,7,0.14,1,-0.04207129475562534,-0.04207129475562534,-1.3010426069826053e-18,-1.5178830414797062e-18,2.8189256484623115e-18,2.8189256484623115e-18
0,7,0.14,2,0.05147870167208024,0.051478701672080227,0.0,-1.951563910473908e-18,1.5829351718288365e-17,1.5829351718288365e-17
0,8,0.16,0,-0.011987642361809735,-0.01198764236180972,-8.673617379884035e-19,-2.3852447794681098e-18,-1.0625181290357943e-17,1.0625181290357943e-17
0,8,0.16,1,-0.04031053130441163,-0.04031053130441164,-1.5178830414797062e-18,-2.7647155398380363e-18,1.1221492485224971e-17,1.1221492485224971e-17
0,8,0.16,2,0.05229817366622136,0.05229817366622136,0.0,-7.047314121155779e-19,7.047314121155779e-19,7.047314121155779e-19
0,9,0.18,0,-0.014602163176189994,-0.014602163176189988,-4.336808689942018e-19,-1.734723475976807e-18,-4.7704895589362195e-18,4.7704895589362195e-18
0,9,0.18,1,-0.03846010493301062,-0.03846010493301064,-2.168404344971009e-19,-1.4094628242311558e-18,2.2442984970449942e-17,2.2442984970449942e-17
0,9,0.18,2,0.05306226810920062,0.05306226810920063,-4.336808689942018e-19,-2.222614453595284e-18,-1.1221492485224971e-17,1.1221492485224971e-17
0,10,0.2,0,-0.01724885625380948,-0.01724885625380949,-1.734723475976807e-18,-3.2526065174565133e-18,1.5395670849294163e-17,1.5395670849294163e-17
0,10,0.2,1,-0.0365227964081963,-0.036522796408196306,-2.2768245622195593e-18,-2.656295322589486e-18,1.1872013788716274e-17,1.1872013788716274e-17
0,10,0.2,2,0.0537716526620058,0.0537716526620058,-1.0842021724855044e-19,-1.5720931501039814e-18,1.6805133673525319e-18,1.6805133673525319e-18
0,11,0.22,0,-0.01992551746861444,-0.019925517468614436,-2.3852447794681098e-18,-2.168404344971009e-18,1.0842021724855044e-18,1.0842021724855044e-18
0,11,0.22,1,-0.0345015793246157,-0.03450157932461569,-1.0299920638612292e-18,-1.734723475976807e-18,-4.174178364069192e-18,4.174178364069192e-18
0,11,0.22,2,0.05442709679323013,0.05442709679323013,-1.6263032587282567e-18,-1.0842021724855044e-18,2.710505431213761e-18,2.710505431213761e-18
0,12,0.24,0,-0.0226298539729713,-0.02262985397297131,-1.734723475976807e-18,-1.951563910473908e-18,1.4094628242311558e-17,1.4094628242311558e-17
0,12,0.24,1,-0.03239961523541385,-0.03239961523541385,-1.1926223897340549e-18,-1.734723475976807e-18,2.927345865710862e-18,2.927345865710862e-18
0,12,0.24,2,0.05502946920838514,0.055029469208385154,-1.0842021724855044e-18,-5.421010862427522e-19,-1.22514845490862e-17,1.22514845490862e-17
0,13,0.26,0,-0.025359486680336826,-0.025359486680336833,-4.336808689942018e-19,-1.734723475976807e-18,9.107298248878237e-18,9.107298248878237e-18
0,13,0.26,1,-0.030220248386952933,-0.03022024838695293,0.0,-2.168404344971009e-18,-1.3010426069826053e-18,1.3010426069826053e-18
0,13,0.26,2,0.055579735067289776,0.05557973506728976,-4.336808689942018e-19,-8.673617379884035e-19,1.5178830414797062e-17,1.5178830414797062e-17
