name,n_modes_per_var,window,cov_shrinkage,ridge_alpha,oof_gain_frac,perm_p_value,lambda_sign_consistency,strata_positive_frac,strata_min_gain,pass_all
local_08_m6_w18_cov0.1_r1e-06,6,18,0.1,1e-06,0.0033792709486676854,0.012345679012345678,1.0,1.0,0.0015702371588388242,False
local_07_m6_w18_cov0.0_r1e-06,6,18,0.0,1e-06,0.003130438033072119,0.012345679012345678,1.0,1.0,0.0015578826871481496,False
local_09_m6_w24_cov0.0_r1e-06,6,24,0.0,1e-06,0.002339931914689215,0.012345679012345678,1.0,1.0,0.0014533019628254515,False
local_03_m5_w24_cov0.0_r1e-06,5,24,0.0,1e-06,0.00024901108602132704,0.3950617283950617,1.0,0.6666666666666666,-0.001050883227005164,False
local_10_m6_w30_cov0.0_r1e-06,6,30,0.0,1e-06,0.0001684140224432843,0.09876543209876543,1.0,0.6666666666666666,-0.00047822159613173016,False
local_04_m5_w24_cov0.1_r1e-06,5,24,0.1,1e-06,4.7948270318119264e-05,0.09876543209876543,1.0,0.3333333333333333,-0.000719768877596711,False
local_11_m6_w30_cov0.1_r1e-05,6,30,0.1,1e-05,-0.00027167412258951017,0.8395061728395061,0.5,0.0,-0.00032668263419368277,False
local_05_m5_w30_cov0.0_r1e-06,5,30,0.0,1e-06,-0.0005381752356674844,0.6296296296296297,0.8333333333333334,0.0,-0.0009871752342516147,False
local_06_m5_w30_cov0.1_r1e-06,5,30,0.1,1e-06,-0.0005462878192608951,0.6049382716049383,0.8333333333333334,0.0,-0.00102143655982668,False
local_01_m5_w18_cov0.0_r1e-05,5,18,0.0,1e-05,-0.003245023544402443,0.4444444444444444,0.8333333333333334,0.0,-0.007133639148508419,False
local_00_m5_w18_cov0.0_r1e-06,5,18,0.0,1e-06,-0.0032506647743072796,0.49382716049382713,0.8333333333333334,0.0,-0.007147410268960395,False
local_02_m5_w18_cov0.1_r1e-05,5,18,0.1,1e-05,-0.003420550197544873,0.4074074074074074,0.8333333333333334,0.0,-0.00701138007526086,False
