trial_id,coherence_blend,coherence_floor,coherence_power,oof_gain_frac,perm_p_value,strata_positive_frac,lambda_sign_consistency,pass_all,score
5,0.6,0.0,1.0,0.0034120966660166,0.04,1.0,1.0,True,303.01209666601665
7,0.6,0.02,1.0,0.0034108399937631,0.04,1.0,1.0,True,303.0108399937631
9,0.3,0.0,1.0,0.003406460481342,0.04,1.0,1.0,True,303.006460481342
11,0.3,0.02,1.0,0.0034058789302191,0.04,1.0,1.0,True,303.0058789302191
6,0.6,0.0,0.7,0.0034004929078302,0.04,1.0,1.0,True,303.0004929078302
8,0.6,0.02,0.7,0.0033994076843872,0.04,1.0,1.0,True,302.9994076843872
10,0.3,0.0,0.7,0.0033967687807834,0.04,1.0,1.0,True,302.99676878078344
12,0.3,0.02,0.7,0.0033961058200714,0.04,1.0,1.0,True,302.9961058200714
2,1.0,0.0,0.7,0.0033805818285782,0.04,1.0,1.0,True,302.98058182857824
4,1.0,0.02,0.7,0.0033802168508491,0.04,1.0,1.0,True,302.9802168508491
3,1.0,0.02,1.0,0.0033797928620862,0.04,1.0,1.0,True,302.97979286208624
1,1.0,0.0,1.0,0.0033792709486676,0.04,1.0,1.0,True,302.97927094866765
