subset,model,n_samples,n_folds,perm_block,mae_base_oof,mae_model_oof,oof_gain_frac,split_gain_median,split_gain_q25,split_gain_q75,perm_stat_real_median_gain,perm_p_value
full,horizontal,4380,6,24,0.8018838932973342,0.7991741103525069,0.0033792709486674087,0.004490880954161427,-0.0006536591795256143,0.007830984824475615,0.004490880954161427,0.006230529595015576
full,vertical,4380,6,24,0.8018838932973342,0.7991477879384785,0.003412096666016668,0.0043910272658100255,-0.000491519265570992,0.007744978642473813,0.0043910272658100255,0.006230529595015576
full,combined,4380,6,24,0.8018838932973342,0.7998262028179325,0.0025660703458426927,0.0032347254191675296,-0.0013035507116946148,0.007002691866704781,0.0032347254191675296,0.012461059190031152
vorticity_p90,horizontal,438,6,12,0.7354560307310476,0.7406183630299134,-0.0070192262802269085,-0.004300118510695728,-0.015043347821093211,-0.0005752702534760235,-0.004300118510695728,0.8847352024922118
vorticity_p90,vertical,438,6,12,0.7354560307310476,0.7408839055299358,-0.007380284574572674,-0.004440706491015919,-0.01617153977060229,-0.0003109135713680458,-0.004440706491015919,0.897196261682243
vorticity_p90,combined,438,6,12,0.7354560307310476,0.7431045364006419,-0.010399677682948956,-0.008826255515887777,-0.017272661399973507,-0.005947899173657706,-0.008826255515887777,0.8940809968847352
omegaq_p90,horizontal,438,6,12,0.5187281243252444,0.5205456913870212,-0.003503891492557093,0.0024415599370130898,-0.0023404285872598678,0.0036135841533936125,0.0024415599370130898,0.19314641744548286
omegaq_p90,vertical,438,6,12,0.5187281243252444,0.5209624548388023,-0.004307324798438507,0.0025617749765521874,-0.0020849304476117914,0.0033776800777715428,0.0025617749765521874,0.1806853582554517
omegaq_p90,combined,438,6,12,0.5187281243252444,0.5282936021779068,-0.018440253003606848,-0.0016407198064031232,-0.024361545268856873,0.0009912035499225552,-0.0016407198064031232,0.5046728971962616
union_p90,horizontal,804,6,24,0.7533423213493621,0.7570273058194533,-0.004891513944797275,-0.0005077627577250583,-0.0029438012444502264,-3.8509798813702285e-05,-0.0005077627577250583,0.5327102803738317
union_p90,vertical,804,6,24,0.7533423213493621,0.7567914514572169,-0.004578436668302813,-0.00039502116485463625,-0.0032101849311175074,-3.951044486176837e-05,-0.00039502116485463625,0.5015576323987538
union_p90,combined,804,6,24,0.7533423213493621,0.7588881963429945,-0.007361693132667111,-0.0034009900716646126,-0.006852066415328191,-0.00014117430617746287,-0.0034009900716646126,0.7383177570093458
intersection_p90,horizontal,72,3,8,0.5117277383918459,0.5269925936799071,-0.0298300329311885,0.022032457628980474,-0.08283763143624087,0.02263865790513015,0.022032457628980474,0.10903426791277258
intersection_p90,vertical,72,3,8,0.5117277383918459,0.5258315871010328,-0.02756123549894336,0.01645306154915766,-0.0739354367051756,0.017834525025104714,0.01645306154915766,0.13395638629283488
intersection_p90,combined,72,3,8,0.5117277383918459,0.5899740341266108,-0.15290610585329711,-0.18718024555209797,-0.18956665926415944,-0.14127307639501172,-0.18718024555209797,1.0
non_union,horizontal,3576,6,24,0.7044502349942765,0.6995379188598009,0.006973262113410415,0.006814107147675065,0.004884415707890268,0.01185323812269664,0.006814107147675065,0.003115264797507788
non_union,vertical,3576,6,24,0.7044502349942765,0.699815866428383,0.006578702562182513,0.006420912190633224,0.004623574620240928,0.011596087692736023,0.006420912190633224,0.003115264797507788
non_union,combined,3576,6,24,0.7044502349942765,0.6995291033450517,0.006985776148201307,0.007315357380539331,0.005345217307883666,0.010184552938397831,0.007315357380539331,0.003115264797507788
