severity_decile,n,mean_abs_residual,mean_abs_lambda_h,mean_abs_lambda_v,mean_vorticity_proxy,mean_omegaq_proxy
1,438,1.1623525691104477,2.3820116370194767e-05,2.2035338070642178e-05,1.2639105466543658e-05,0.00011074268904754789
2,438,0.8575967789189944,2.684632789642845e-05,2.436341053917595e-05,1.3803689911995964e-05,0.00015554592683757738
3,438,0.7431262093009757,2.8780214949609255e-05,2.5241259422545607e-05,1.4397876019669714e-05,0.00018975391600249114
4,439,0.6758925234281284,2.8077575096753394e-05,2.4498806740444696e-05,1.5201144315331897e-05,0.0002138030218408479
5,438,0.5486587626342634,3.6584627319856794e-05,3.201761001345107e-05,1.5628758254518917e-05,0.0002509313645411688
6,437,0.5635079826156236,2.7402544575806358e-05,2.415746373012502e-05,1.6302939222235095e-05,0.0002797883667214613
7,438,0.5608790403127064,2.408033514281299e-05,2.093206065996789e-05,1.706818689754201e-05,0.00030312235705246525
8,438,0.7487868363948808,2.4196827810199258e-05,2.114276630726887e-05,1.742018117577445e-05,0.0003570289191046048
9,438,0.8826294598807373,2.5328421344089903e-05,2.1365972972047656e-05,1.8235874801259265e-05,0.00039129152470344865
10,438,1.310174828654606,1.944382697345628e-05,1.6399281446167092e-05,1.9376957384777174e-05,0.00045844678630901193
