subset,lambda_name,tail_q_low,tail_q_high,n_low,n_high,delta_mean_residual_high_minus_low,abs_delta_mean_residual,delta_ci95_lo,delta_ci95_hi
full,lambda_h,0.1,0.9,438,438,-0.2564811554314923,0.2564811554314923,-0.38832215541743503,-0.12235925823785983
full,lambda_v,0.1,0.9,438,438,-0.25680218068176824,0.25680218068176824,-0.3895918657478063,-0.12152529175004638
vorticity_p90,lambda_h,0.1,0.9,44,44,-0.09533269570261377,0.09533269570261377,-0.4878366815649872,0.2865088341289372
vorticity_p90,lambda_v,0.1,0.9,44,44,-0.2585228675481155,0.2585228675481155,-0.6453281612336337,0.15848424498145666
omegaq_p90,lambda_h,0.1,0.9,44,44,0.1962558562660739,0.1962558562660739,-0.06185991184446003,0.4642298773399399
omegaq_p90,lambda_v,0.1,0.9,44,44,0.11399564506665061,0.11399564506665061,-0.13478644219560598,0.3851851515860723
union_p90,lambda_h,0.1,0.9,81,81,-0.1871126991607054,0.1871126991607054,-0.45162691551455003,0.07505530605486703
union_p90,lambda_v,0.1,0.9,81,81,-0.17433658924628515,0.17433658924628515,-0.4529324137562232,0.10814115060019967
intersection_p90,lambda_h,0.1,0.9,8,8,0.5074322500518704,0.5074322500518704,-0.21231920404663635,1.1493740416877753
intersection_p90,lambda_v,0.1,0.9,8,8,0.5074322500518704,0.5074322500518704,-0.17522769142630856,1.1684426821107383
non_union,lambda_h,0.1,0.9,358,358,-0.29835665797043515,0.29835665797043515,-0.4254955378614333,-0.17069347305028978
non_union,lambda_v,0.1,0.9,358,358,-0.30885862287344623,0.30885862287344623,-0.4329119664072325,-0.18435873733587263
