fold_id,model,q_extreme,ridge_alpha,n_train,n_val,n_val_extreme,gain_all,gain_extreme,gain_non_extreme,score
0,vertical_global,0.85,1e-06,2433,487,174,0.005865426706500171,0.003806208091402408,0.008114630018348579,0.008149151561341616
1,vertical_global,0.85,1e-06,2433,487,99,-0.0023435787727881935,-0.005498418617010454,-0.0002629749978221123,-0.005642629942994465
2,vertical_global,0.85,1e-06,2433,487,66,-0.004596483351131686,0.008011995458385242,-0.007442027776889053,0.00021071392389945907
3,vertical_global,0.85,1e-06,2433,487,184,0.0010808334058956626,-0.0015658035235580202,0.0033377508282697024,0.00014135129176085046
4,vertical_global,0.85,1e-06,2434,486,135,0.006977867467735145,0.000574213909829838,0.009983170178628088,0.007322395813633048
5,vertical_global,0.85,1e-06,2434,486,104,-0.0008906674318568059,0.0019129315042263563,-0.0013999056156362424,0.0002570914706790078
0,vertical_global,0.85,3e-06,2433,487,174,0.005865426699893613,0.003806208087696944,0.008114630008610495,0.00814915155251178
1,vertical_global,0.85,3e-06,2433,487,99,-0.0023435787587735134,-0.005498418612452278,-0.000262974977567101,-0.00564262992624488
2,vertical_global,0.85,3e-06,2433,487,66,-0.004596483348525582,0.008011995444332294,-0.0074420277710317085,0.00021071391807379446
3,vertical_global,0.85,3e-06,2433,487,184,0.001080833405705795,-0.001565803522941354,0.0033377508276505744,0.00014135129194098252
4,vertical_global,0.85,3e-06,2434,486,135,0.006977867462843,0.0005742139156658879,0.009983170168469327,0.0073223958122425326
5,vertical_global,0.85,3e-06,2434,486,104,-0.000890667429612114,0.001912931506548335,-0.0013999056134723776,0.00025709147431688686
0,vertical_global,0.85,1e-05,2433,487,174,0.0058654266767709995,0.0038062080747281917,0.008114629974528215,0.008149151521607913
1,vertical_global,0.85,1e-05,2433,487,99,-0.002343578709722619,-0.005498418596500081,-0.0002629749066745616,-0.005642629867622668
2,vertical_global,0.85,1e-05,2433,487,66,-0.004596483339403956,0.008011995395146791,-0.0074420277505289996,0.00021071389768411927
3,vertical_global,0.85,1e-05,2433,487,184,0.0010808334050413343,-0.0015658035207828337,0.0033377508254843254,0.00014135129257163408
4,vertical_global,0.85,1e-05,2434,486,135,0.006977867445720486,0.000574213936090545,0.009983170132914068,0.0073223958073748135
5,vertical_global,0.85,1e-05,2434,486,104,-0.0008906674217556312,0.0019129315146750087,-0.001399905605898171,0.000257091487049374
0,vertical_global,0.85,3e-05,2433,487,174,0.005865426610706917,0.0038062080376742935,0.008114629877150318,0.008149151433311493
1,vertical_global,0.85,3e-05,2433,487,99,-0.002343578569577622,-0.005498418550921013,-0.00026297470412444865,-0.0056426297001302295
2,vertical_global,0.85,3e-05,2433,487,66,-0.0045964833133423895,0.008011995254616827,-0.007442027691950821,0.00021071383942770656
3,vertical_global,0.85,3e-05,2433,487,184,0.001080833403142052,-0.001565803514615918,0.0033377508192944426,0.00014135129437250137
4,vertical_global,0.85,3e-05,2434,486,135,0.006977867396798113,0.0005742139944477451,0.00998317003132663,0.00732239579346676
5,vertical_global,0.85,3e-05,2434,486,104,-0.0008906673993078575,0.0019129315378936143,-0.0013999055842573694,0.000257091523428311
0,vertical_global,0.85,0.0001,2433,487,174,0.005865426379482697,0.003806207907984906,0.008114629536326948,0.00814915112427364
1,vertical_global,0.85,0.0001,2433,487,99,-0.002343578079069643,-0.005498418391396481,-0.00026297399519886635,-0.0056426291139075315
2,vertical_global,0.85,0.0001,2433,487,66,-0.004596483222126478,0.008011994762762074,-0.007442027486927376,0.00021071363553076643
3,vertical_global,0.85,0.0001,2433,487,184,0.00108083339649411,-0.0015658034930319626,0.0033377507976300276,0.0001413513006749324
4,vertical_global,0.85,0.0001,2434,486,135,0.006977867225571018,0.0005742141986973518,0.009983169675771956,0.007322395744789429
5,vertical_global,0.85,0.0001,2434,486,104,-0.0008906673207415649,0.0019129316191594972,-0.0013999055085155284,0.0002570916507541335
0,vertical_global,0.85,0.0003,2433,487,174,0.005865425718840923,0.00380620753744444,0.008114628562546885,0.008149150241307586
1,vertical_global,0.85,0.0003,2433,487,99,-0.0023435766776185286,-0.005498417935611053,-0.00026297196969696056,-0.005642627438985161
2,vertical_global,0.85,0.0003,2433,487,66,-0.0045964829615096105,0.008011993357462211,-0.007442026901146853,0.00021071305296771568
3,vertical_global,0.85,0.0003,2433,487,184,0.0010808333775011376,-0.001565803431362933,0.003337750735731199,0.00014135131868337782
4,vertical_global,0.85,0.0003,2434,486,135,0.006977866736350472,0.0005742147822676401,0.009983168659900947,0.007322395605711056
5,vertical_global,0.85,0.0003,2434,486,104,-0.0008906670962662694,0.0019129318513477567,-0.001399905292109441,0.00025709201454238466
0,vertical_global,0.85,0.001,2433,487,174,0.005865423406596726,0.0038062062405532127,0.008114625154317066,0.008149147150928654
1,vertical_global,0.85,0.001,2433,487,99,-0.002343571772541686,-0.005498416340363519,-0.00026296488044357235,-0.0056426215767597975
2,vertical_global,0.85,0.001,2433,487,66,-0.004596482049351505,0.008011988438915757,-0.007442024850914835,0.0002107110139979492
3,vertical_global,0.85,0.001,2433,487,184,0.0010808333110249046,-0.0015658032155212932,0.0033377505190873794,0.00014135138171212877
4,vertical_global,0.85,0.001,2434,486,135,0.006977865024079285,0.0005742168247630783,0.009983165104354413,0.0073223951189371325
5,vertical_global,0.85,0.001,2434,486,104,-0.000890666310602374,0.0019129326640055491,-0.0013999045346897749,0.0002570932878009554
0,vertical_global,0.85,0.003,2433,487,174,0.0058654168001934385,0.003806202535155243,0.008114615416529806,0.008149138321286584
1,vertical_global,0.85,0.003,2433,487,99,-0.0023435577580496057,-0.005498411782518395,-0.000262944625454043,-0.005642604827560642
2,vertical_global,0.85,0.003,2433,487,66,-0.004596479443188322,0.008011974385945551,-0.007442018993116549,0.00021070518837900884
3,vertical_global,0.85,0.003,2433,487,184,0.001080833121093406,-0.0015658025988307903,0.003337749900104675,0.00014135156179493182
4,vertical_global,0.85,0.003,2434,486,135,0.006977860131885073,0.0005742226604577788,0.009983154945667224,0.00732239372815974
5,vertical_global,0.85,0.003,2434,486,104,-0.0008906640658514288,0.0019129349858847578,-0.0013999023706351942,0.00025709692567942586
0,vertical_global,0.85,0.01,2433,487,174,0.00586539367787697,0.003806189566318367,0.00811458133441221,0.00814910741766799
1,vertical_global,0.85,0.01,2433,487,99,-0.0023435087074987057,-0.005498395830122059,-0.00026287373323216807,-0.0056425462055719414
2,vertical_global,0.85,0.01,2433,487,66,-0.004596470321656885,0.008011925200783723,-0.007441998490907946,0.00021068479881334798
3,vertical_global,0.85,0.01,2433,487,184,0.0010808324563409757,-0.0015658004404113352,0.0033377477336715674,0.00014135219209417463
4,vertical_global,0.85,0.01,2434,486,135,0.006977843009309582,0.0005742430853124947,0.0099831193904595,0.007322388860497079
5,vertical_global,0.85,0.01,2434,486,104,-0.0008906562092519351,0.0019129431124445028,-0.0013998947964752953,0.0002571096582147665
0,vertical_global,0.85,0.03,2433,487,174,0.005865327614936134,0.0038061525129766947,0.008114483958114132,0.00814901912272215
1,vertical_global,0.85,0.03,2433,487,99,-0.0023433685645270464,-0.005498350252382822,-0.00026267118609503323,-0.00564237871595674
2,vertical_global,0.85,0.03,2433,487,66,-0.0045964442604799535,0.00801178467375058,-0.007441939913893076,0.00021062654377039438
3,vertical_global,0.85,0.03,2433,487,184,0.001080830557107869,-0.0015657942734738839,0.0033377415439138406,0.0001413539930235387
4,vertical_global,0.85,0.03,2434,486,135,0.006977794088558121,0.0005743014413905257,0.0099830178058491,0.007322374953392436
