model,quarter,q_extreme,ridge_alpha,train_start,train_end,test_start,test_end,n_train,n_test,n_test_extreme,n_test_non_extreme,v_thr_train,omegaq_thr_train,gain_all,gain_extreme,gain_non_extreme,gain_ci95_lo,gain_ci95_hi
horizontal_global,2019Q1,0.88,0.1,2017-01-01 00:00:00,2018-12-31 18:00:00,2019-01-01 00:00:00,2019-03-31 18:00:00,2920,360,180,180,1.8681968093178365e-05,0.00043424241519411595,-0.0017520423847237315,-0.007973440607478567,0.005126582832899137,-0.007157982996123659,0.0049281690986927515
horizontal_global,2019Q2,0.88,0.1,2017-01-01 00:00:00,2019-03-31 18:00:00,2019-04-01 00:00:00,2019-06-30 18:00:00,3280,364,95,269,1.9020504937977126e-05,0.000436718169715692,-0.0012331632746024437,-0.007334420213387629,0.0018403664719993885,-0.013598763515622081,0.009761400231052863
horizontal_global,2019Q3,0.88,0.1,2017-01-01 00:00:00,2019-06-30 18:00:00,2019-07-01 00:00:00,2019-09-30 18:00:00,3644,368,129,239,1.8954992923843418e-05,0.000442691731033544,0.018363483334500802,0.0018568846524733733,0.02573164862485037,0.0008504391358430292,0.0375949215647377
horizontal_global,2019Q4,0.88,0.1,2017-01-01 00:00:00,2019-09-30 18:00:00,2019-10-01 00:00:00,2019-12-31 18:00:00,4012,368,16,352,1.9149893564713578e-05,0.000434614644804164,-0.0026857770049079437,-0.0005086403885350952,-0.0028751217313189394,-0.008382036236773971,0.0025635321800054583
horizontal_regime,2019Q1,0.85,0.1,2017-01-01 00:00:00,2018-12-31 18:00:00,2019-01-01 00:00:00,2019-03-31 18:00:00,2920,360,194,166,1.838657636523639e-05,0.00041233481087127506,0.058733813751205996,0.030446650817313535,0.09490834149729102,-0.2074710594570487,0.24778169034301628
horizontal_regime,2019Q2,0.85,0.1,2017-01-01 00:00:00,2019-03-31 18:00:00,2019-04-01 00:00:00,2019-06-30 18:00:00,3280,364,109,255,1.871673305000597e-05,0.00041310135031600003,0.2695086378132119,0.48709053320038653,0.14021106540652647,0.2022116011804952,0.3311420751857151
horizontal_regime,2019Q3,0.85,0.1,2017-01-01 00:00:00,2019-06-30 18:00:00,2019-07-01 00:00:00,2019-09-30 18:00:00,3644,368,145,223,1.865990527121822e-05,0.000418953921551695,0.024342013721705597,-0.2259753262782498,0.1598716134391307,-0.1381224714983184,0.1508872298054341
horizontal_regime,2019Q4,0.85,0.1,2017-01-01 00:00:00,2019-09-30 18:00:00,2019-10-01 00:00:00,2019-12-31 18:00:00,4012,368,21,347,1.8870281050601002e-05,0.00041082987853982,0.2255294767513116,0.43083689074487186,0.20569863271054495,0.19014992389365903,0.25381391364559164
vertical_global,2019Q1,0.88,0.1,2017-01-01 00:00:00,2018-12-31 18:00:00,2019-01-01 00:00:00,2019-03-31 18:00:00,2920,360,180,180,1.8681968093178365e-05,0.00043424241519411595,-0.0017910390407118496,-0.007647082401826324,0.004683635316561666,-0.006701366306421115,0.004022764410046652
vertical_global,2019Q2,0.88,0.1,2017-01-01 00:00:00,2019-03-31 18:00:00,2019-04-01 00:00:00,2019-06-30 18:00:00,3280,364,95,269,1.9020504937977126e-05,0.000436718169715692,-0.0007788455843378701,-0.006511599656749319,0.0021090495409275007,-0.013258647827414384,0.010112282186009363
vertical_global,2019Q3,0.88,0.1,2017-01-01 00:00:00,2019-06-30 18:00:00,2019-07-01 00:00:00,2019-09-30 18:00:00,3644,368,129,239,1.8954992923843418e-05,0.000442691731033544,0.017891979001653433,0.0014862277627965316,0.0252151283171979,0.0009743862318259592,0.03753367471110299
vertical_global,2019Q4,0.88,0.1,2017-01-01 00:00:00,2019-09-30 18:00:00,2019-10-01 00:00:00,2019-12-31 18:00:00,4012,368,16,352,1.9149893564713578e-05,0.000434614644804164,-0.002427287449342719,0.00011696337400294722,-0.0026485599558287204,-0.008510663505165519,0.0031974061406994576
vertical_regime,2019Q1,0.85,0.1,2017-01-01 00:00:00,2018-12-31 18:00:00,2019-01-01 00:00:00,2019-03-31 18:00:00,2920,360,194,166,1.838657636523639e-05,0.00041233481087127506,0.05840121777069089,0.030605082088934175,0.09394780417822751,-0.1972835634227636,0.2478615667513238
vertical_regime,2019Q2,0.85,0.1,2017-01-01 00:00:00,2019-03-31 18:00:00,2019-04-01 00:00:00,2019-06-30 18:00:00,3280,364,109,255,1.871673305000597e-05,0.00041310135031600003,0.26955706291333825,0.4870731109055759,0.14029862017918182,0.204831477553726,0.3294962825865975
vertical_regime,2019Q3,0.85,0.1,2017-01-01 00:00:00,2019-06-30 18:00:00,2019-07-01 00:00:00,2019-09-30 18:00:00,3644,368,145,223,1.865990527121822e-05,0.000418953921551695,0.02251309711475872,-0.2262450259891338,0.1571984882695802,-0.14658044394533087,0.14466060456765684
vertical_regime,2019Q4,0.85,0.1,2017-01-01 00:00:00,2019-09-30 18:00:00,2019-10-01 00:00:00,2019-12-31 18:00:00,4012,368,21,347,1.8870281050601002e-05,0.00041082987853982,0.22529565126702542,0.4307755702513438,0.20544814480038018,0.19335344950305167,0.25601606710919456
