model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
horizontal,0,3650,730,0.8337612193836705,0.8275859207247356,0.00740655539663074,-0.08628174376166604,-0.08333737228944729,-0.21882706271199917,-0.21715210935415352,-1265.8678287774023,
horizontal,1,3650,730,0.7019333766083353,0.7055651423817838,-0.005173946551724893,-0.02067968983410067,-0.01687695210531856,-0.24330303786199786,-0.24183859169362842,-1832.315433451041,
horizontal,2,3650,730,0.7222965587847558,0.716538077422407,0.007972461300423906,-0.018122461678816655,-0.016164448127028254,-0.20881288773913967,-0.20761223581572033,-1248.5846702564,
horizontal,3,3650,730,0.819303556655796,0.8180129843582977,0.0015752065116921136,0.05394725313867363,0.05642167520923058,-0.21523790036727014,-0.21516824771449705,-1554.7181912978238,
horizontal,4,3650,730,0.8262971802672656,0.8274511988161141,-0.0013966144099315236,-0.01786060090043927,-0.014767936706254006,-0.22189199416165176,-0.22119302762454804,-1720.772685338497,
horizontal,5,3650,730,0.9077114680841819,0.8998913384117025,0.00861521523901855,0.08977860129180958,0.08975183829647984,-0.21012016600307395,-0.21095483583782382,-877.6877382976788,
vertical,0,3650,730,0.8337612193836705,0.827379470634499,0.007654168364752391,-0.08628174376166604,-0.08335212045876426,-0.21882706271199917,-0.21726488953503786,,-1457.162586762189
vertical,1,3650,730,0.7019333766083353,0.7052449248705477,-0.004717752955713089,-0.02067968983410067,-0.01685274220158819,-0.24330303786199786,-0.2419950940126484,,-2092.8836098343763
vertical,2,3650,730,0.7222965587847558,0.7166805233797277,0.00777524873504762,-0.018122461678816655,-0.016153103200971203,-0.20881288773913967,-0.20782320652646807,,-1437.1965486898775
vertical,3,3650,730,0.819303556655796,0.8183794755077773,0.0011278861668676595,0.05394725313867363,0.056504826879439994,-0.21523790036727014,-0.21538611944193592,,-1780.4530307082546
vertical,4,3650,730,0.8262971802672656,0.8271493579646328,-0.0010313210763838758,-0.01786060090043927,-0.014758860983671691,-0.22189199416165176,-0.22142327981973467,,-1939.6033290483558
vertical,5,3650,730,0.9077114680841819,0.900052975273686,0.008437144488932707,0.08977860129180958,0.08978306930474184,-0.21012016600307395,-0.21104824627085184,,-1028.4049761229364
combined,0,3650,730,0.8337612193836705,0.8296541504120136,0.004925953469853152,-0.08628174376166604,-0.08358930597476905,-0.21882706271199917,-0.21689215063479486,-6023.288700165921,5629.228171097134
combined,1,3650,730,0.7019333766083353,0.705832263037838,-0.005554496422917059,-0.02067968983410067,-0.01699745126506745,-0.24330303786199786,-0.24166580221110112,-4211.691906461119,2766.4463695212153
combined,2,3650,730,0.7222965587847558,0.7165466852577514,0.007960543985797807,-0.018122461678816655,-0.016162348054304644,-0.20881288773913967,-0.20762899085544406,-1145.951168343218,-118.98940698875128
combined,3,3650,730,0.819303556655796,0.8180389637721084,0.0015434973684819073,0.05394725313867363,0.056428818719184266,-0.21523790036727014,-0.21518390398926918,-1443.4900991272584,-128.20933273565106
combined,4,3650,730,0.8262971802672656,0.8281584698115882,-0.002252566738420122,-0.01786060090043927,-0.015054492439981394,-0.22189199416165176,-0.22058417396096683,-6565.754193905481,5624.329654482495
combined,5,3650,730,0.9077114680841819,0.9007266846162955,0.007694937998988657,0.08977860129180958,0.08984543329297875,-0.21012016600307395,-0.21119137502620933,1758.5780332944876,-3040.1745530406406
